long,lat,objeto,id,nombre,comuna
-58.4173334662782,-34.5916299900033,CeP,,ALPI - INSTITUTO DE REHABILITACION MARCELO FITTE - Sede Central,14
-58.420476072707,-34.612883734052,CeP,,CAMI - MEDICINA DEL TRABAJO,5
-58.4020386885894,-34.5836525445924,CeP,,CEMIC - Sede Las Heras,2
-58.4952169781437,-34.5569834885832,CeP,,CEMIC - Sede Saavedra,12
-58.3972987834349,-34.6139834471649,CeP,,CENTRO GALLEGO DE BUENOS AIRES,3
-58.4249465318604,-34.6366468796802,CeP,,CENTRO MEDICO SARAZA,7
-58.4683324617794,-34.5745638740179,CeP,,CLINICA ADVENTISTA BELGRANO,15
-58.4018293710408,-34.6146868076902,CeP,,CLINICA CIUDAD DE LA VIDA,3
-58.4056663154276,-34.5811615860652,CeP,,CLINICA JURI,14
-58.4459563935275,-34.5616588115442,CeP,,CLINICA LA SAGRADA FAMILIA,13
-58.3930156724153,-34.5956612241685,CeP,,CLINICA MILITO,2
-58.4425178969106,-34.6062511930728,CeP,,CLINICA SAN CAMILO,15
-58.455903790195,-34.6315922260729,CeP,,CLINICA Y MATERNIDAD SANTA ISABEL,7
-58.4107714395989,-34.6393008682418,CeP,,COMPLEJO MEDICO POLICIAL CHURRUCA-VISCA,4
-58.4496850428311,-34.5691238969582,CeP,,EXCELSITAS,13
-58.4504966447053,-34.5551636091511,CeP,,FLENI FUND. LUCHA CONTRA ENF. NEUROLOGICAS INFANCIA,13
-58.3972084784576,-34.5915528544188,CeP,,FUNDALEU FUND. ARG. CONTRA LA LEUCEMIA,2
-58.4119120455676,-34.6527867404469,CeP,,HOSPITAL AERONAUTICO CENTRAL,4
-58.4210977152759,-34.60749541051,CeP,,HOSPITAL DE ASMA Y ALERGIA,5
-58.4005989393542,-34.599313026744,CeP,,HOSPITAL DE CLINICAS JOSE DE SAN MARTIN,2
-58.4945055527339,-34.5967355104325,CeP,,HOSPITAL DE ONCOLOGIA ANGEL H. ROFFO,15
-58.4078841680474,-34.6147921640614,CeP,,HOSPITAL ESPAÑOL,3
-58.4077336882728,-34.6215070537572,CeP,,HOSPITAL FRANCES  (PAMI),3
-58.4736847263334,-34.6193123030912,CeP,,HOSPITAL ISRAELITA- ISRAMED,11
-58.4248693515647,-34.6066236890407,CeP,,HOSPITAL ITALIANO,5
-58.4361615488634,-34.5701412182934,CeP,,HOSPITAL MILITAR CENTRAL,14
-58.4330239815246,-34.605214741838,CeP,,HOSPITAL NAVAL DR. PEDRO MALLO,6
-58.4518304367483,-34.5718499078415,CeP,,INSTITUTO ALEXANDER FLEMING,13
-58.4358080982353,-34.6182685422713,CeP,,INSTITUTO ANTARTIDA,6
-58.4009830594969,-34.5967763326888,CeP,,INSTITUTO ARGENTINO DE DIAGNOSTICO Y TRATAMIENTO SA,2
-58.4507849363406,-34.554005357205,CeP,,INSTITUTO CARDIOVASCULAR DE BUENOS AIRES,13
-58.4145049370503,-34.6157212535974,CeP,,INSTITUTO DUPUYTREN DE TRAUMATOLOGIA Y ORTOPEDIA,5
-58.45743645799,-34.6128297812128,CeP,,POLICLINICA BANCARIA 9 DE JULIO,6
-58.3945286147342,-34.5853999138081,CeP,,SANATORIO AGOTE,2
-58.4509010882876,-34.5769987752721,CeP,,SANATORIO COLEGIALES,13
-58.4240417292528,-34.5751241348084,CeP,,SANATORIO DE LA TRINIDAD,14
-58.4293115257234,-34.5809679428827,CeP,,SANATORIO DE LOS ARCOS,14
-58.4142080022663,-34.5976878937242,CeP,,SANATORIO DEL VALLE,2
-58.4222140731801,-34.5974987828694,CeP,,SANATORIO GUEMES,14
-58.4042317004533,-34.5779514751144,CeP,,SANATORIO MATER DEI,14
-58.4027131737731,-34.6084373447531,CeP,,SANATORIO MITRE,3
-58.4010746120733,-34.5984282843825,CeP,,SANATORIO OTAMENDI Y MIROLI,2
-58.4102357205453,-34.5915338297029,CeP,,SANATORIO SAN JOSE,2
-58.4668347587071,-34.6295104777912,CeP,,SANATORIO SAN PATRICIO,7
-58.428389530544,-34.6042441186449,CeP,,CENTRO MEDICO DR. CALABRESE,14
-58.3903099532521,-34.6205785728087,CeP,,CLINICA BASILEA,1
-58.4076442734799,-34.5872989266475,CeP,,CLINICA BAZTERRICA,2
-58.432780926532,-34.6043694370666,CeP,,CLINICA DE LA CIUDAD,6
-58.3972368206396,-34.596845963284,CeP,,DIAGNOSTICO MEDICO,2
-58.390944953502,-34.6139942306788,CeP,,FUNDACION FAVALORO,1
-58.3878887769155,-34.6345585079131,CeP,,HOSPITAL BRITANICO DE BUENOS AIRES,4
-58.4096200411173,-34.5950706283301,CeP,,INSTITUTO ONCOLOGICO HENRY MOORE,2
-58.4017881575943,-34.5938459988272,CeP,,CLINICA Y MATERNIDAD SUIZO ARGENTINA,2
-58.4015659760694,-34.592078584159,CeP,,HOSPITAL ALEMAN,2
-58.4216592996754,-34.5890080330916,CeP,,CLINICA PSIQUIATRICA VILLA GUADALUPE,14
-58.3989077883883,-34.6070610661315,CeP,,INSTITUTO MEDICO DE OBSTETRICIA,3
-58.4003468428571,-34.5893300845529,CeP,,SANATORIO ANCHORENA S.A.,2
-58.4305254244608,-34.6195042295687,CeP,,CLINICA GERIATRICA GUAYAQUIL,6
-58.40356356626,-34.6158350932667,CeP,,CLINICA SANTA CATALINA,3
-58.3875652453533,-34.5900665526056,CeP,,CRUZ AZUL ASISTENCIA MEDICA,2
-58.4725191907387,-34.5846753259586,CeP,,INSTITUTO DE INVESTIGACIONES MEDICAS A. LANARI,15
-58.4159152373755,-34.5913195038463,CeP,,ALPI - Sede Paraguay - Unidad de mano,14
-58.4163598358062,-34.6008123906686,CeP,,ALPI - Sede Mario Bravo - Unidad pediatría y terapias manuales,5
-58.4766168771927,-34.5441689815929,CeP,,FUNDACIÓN HOSPITALARIA,12
-58.3975005060206,-34.5954215910939,CeP,,INSTITUTO FERRERO DE NEUROLOGÍA Y SUEÑO,2
-58.379536279174,-34.5846192395719,CeSAC,45,Centro de Salud Nivel 1 Retiro 3 (CeSAC Nº 47),1
-58.4666294080613,-34.6778089390512,CeSAC,44,Centro de Salud Nivel 1 Villa Lugano 6 (CeSAC Nº 43),8
-58.4673635405403,-34.6607303120847,CeSAC,43,Centro de Salud Nivel 1 Villa Lugano 7 (CeSAC Nº 44),8
-58.4215702058292,-34.6065882187344,CeSAC,42,Centro de Salud Nivel 1 Almagro (CeSAC N° 38),5
-58.3579247623333,-34.6313266810211,CeSAC,40,Centro de Salud Nivel 1 La Boca 2 (CeSAC N° 41),4
-58.4951281130031,-34.6704648839264,CeSAC,39,Centro de Salud Nivel 1 Villa Lugano 1 (CeSAC N° 5),8
-58.4022498496126,-34.6253913497638,CeSAC,38,Centro de Salud Nivel 1 San Cristóbal (CeSAC N° 45),3
-58.3659080000432,-34.6401070890471,CeSAC,37,Centro de Salud Nivel 1 La Boca 1 (CeSAC N° 9),4
-58.3973625693379,-34.6560438464025,CeSAC,36,Centro de Salud Nivel 1 Barracas 2 (CeSAC N° 8),4
