object,long,lat,name,comune
children's home,-58.43450464,-34.64666887,CASA DE LOS NIÑOS Y ADOLESCENTES DE BARRIO ILLIA,4
children's home,-58.39673179,-34.65431061,CASA DE LOS NIÑOS Y ADOLESCENTES DE BARRACAS,4
children's home,-58.36620032,-34.63969275,CASA DE LOS NIÑOS Y ADOLESCENTES DE LA BOCA-PLAZA MATHEU,4
children's home,-58.46549138,-34.68719966,CASA DE LOS NIÑOS Y ADOLESCENTES DE LUGANO,8
child development center,-58.47803578963355,-34.591132775384715,AGRONOMIA,15
child development center,-58.51248223325111,-34.579053697789284,ALBARELLOS,12
child development center,-58.43250250118925,-34.6086573881956,ANDRES FERREYRA,6
child development center,-58.45415004988354,-34.60286551341535,BAM-BAM,
child development center,-58.473531419602615,-34.66654060895771,BARRIO COPELLO,8
child development center,-58.44489630943202,-34.63310275578877,CHACABUCO,7
child development center,-58.38370693339062,-34.63335306169521,CRECIENDO,4
child development center,-58.37927741388898,-34.60015007296135,DIENTITOS DE LECHE,1
child development center,-58.40475894547963,-34.65490807071229,ESPORA,4
child development center,-58.38849518794306,-34.62412084210056,FANTASSIA Y GARABATOS,1
child development center,-58.378214683245155,-34.636176058860585,HERRERA,4
child development center,-58.47588875807253,-34.597121314340825,MI MUNDO FELIZ,15
child development center,-58.41161050562268,-34.639055961936876,PATRICIOS,4
child development center,-58.49265909917806,-34.67764626420168,PIEDRABUENA,8
child development center,-58.42776305851264,-34.60801203254947,PRINGLES,5
child development center,-58.36055591345499,-34.63896784258825,QUINQUELA MARTIN,4
child development center,-58.45859821275071,-34.67316251411827,RAYITO DE SOL,8
child development center,-58.4777124439369,-34.54944501734207,SAAVEDRA,12
child development center,-58.506882383813846,-34.6325112552105,TUTZO DE BONIFACIO,10
child development center,-58.456215032043744,-34.580251247681424,VERA PEÑALOZA,15
day center,-58.38370693339062,-34.63335306169521,Nº 1,4
day center,-58.44556589729839,-34.61096209052728,Nº 2,6
day center,-58.45473056609532,-34.637539641629076,Nº 3,7
day center,-58.49751597763145,-34.636196903291605,Nº 4,10
day center,-58.463186353193294,-34.578968999409454,Nº 5,15
day center,-58.38370693339062,-34.63335306169521,Nº 6,4
day center,-58.39134957465014,-34.62367140714866,Nº 7,1
day center,-58.50320662979248,-34.58120278271628,Nº 8,12
day center,-58.430634096604884,-34.57975681329982,Nº 9,14
day center,-58.49126549128218,-34.678112131503674,Nº 10,8
day center,-58.47934880132925,-34.64995976100541,Nº 12,9
day center,-58.430634096604884,-34.57975681329982,Nº 13,14
day center,-58.43194288172035,-34.59617549907172,Nº 15,15
day center,-58.47427297805831,-34.686745195332755,Nº 16,8
day center,-58.413542504548815,-34.61821870920354,Nº 17,5
day center,-58.50320662979248,-34.58120278271628,Nº 18,12
day center,-58.376204497895976,-34.62477531499186,Nº 19,1
day center,-58.48855795531164,-34.55032580741456,Nº 20,12
day center,-58.505839305659066,-34.64911273527296,Nº 21,9
day center,-58.368896772105806,-34.63216264334713,Nº 22,4
day center,-58.36097190332009,-34.63793674070542,Nº 23,4
day center,-58.496321485695496,-34.66796459122349,Nº 24,9
day center,-58.43386235835057,-34.66119279573987,Nº 25,8
day center,-58.468378961795594,-34.58790331815028,Nº 26,15
day center,-58.49443298181475,-34.63810419298927,Nº 27,10
day center,-58.43508965360334,-34.636600009801505,Nº 28,7
day center,-58.40812672581818,-34.63747128392533,Nº 29,4
day center,-58.51212905750654,-34.617490912352444,Nº 31,10
day center,-58.430634096604884,-34.57975681329982,CENTRO CULTURAL,14
day center,-58.37645427730706,-34.62488282761012,CENTRO DE DIA MODELO,1
retirement center,-58.381791,-34.617597,UPSA - VOLAR,1
retirement center,-58.391271,-34.607910,TIEMPO DE ENCUENTRO   ,1
retirement center,-58.375528,-34.622967,NUEVOS HORIZONTES,1
retirement center,-58.375627,-34.621723,EL PORVENIR DE SAN TELMO,1
retirement center,-58.385163,-34.623580,BIENVENIDOS,1
retirement center,-58.379144,-34.618551,APEJURA ASOC DE PENS Y JUB DE LA REPUBLICA ARGENTINA ASOCIACION CIVIL,1
retirement center,-58.372144,-34.624206,SAN PEDRO TELMO,1
retirement center,-58.383009,-34.623487,ASOC CIVIL CENTRO DE JUB GASTRONOMICOS,1
retirement center,-58.386195,-34.611590,18 DE ABRIL,1
retirement center,,,MIS MEJORES AÑOS,1
retirement center,-58.388987,-34.617263,LA PUESTA DEL SOL,1
retirement center,-58.403552,-34.587601,BARRIO NORTE,2
retirement center,-58.414804,-34.579511,CENTRO DE LA TERCERA EDAD MANANTIAL,14
retirement center,-58.412265,-34.599794,JARDIN DE LA AMISTAD,5
retirement center,-58.407723,-34.620325,LA EXPERIENCIA,3
retirement center,-58.407365,-34.621772,HIPOLITO YRIGOYEN,3
retirement center,-58.402508,-34.599549,RENOVACION,3
retirement center,-58.403736,-34.628248,ASOC CIVIL ARCO IRIS DE SAN CRISTOBAL,3
retirement center,-58.466176,-34.606691,SIMONA VERON,11
retirement center,-58.394465,-34.612893,RINCON DE LA ALEGRIA,3
retirement center,-58.406280,-34.621891,ALFREDO PICARDI,3
retirement center,-58.396456,-34.629923,DOÑA ROSA,4
retirement center,-58.399305,-34.614826,JORGA SALOMÓN,3
retirement center,-58.411257,-34.600400,CIUDAD DE BUENOS AIRES,3
retirement center,-58.410062,-34.656398,LOS DORADOS AÑOS,4
retirement center,-58.393916,-34.651501,JUVENTUD UNIDA,4
retirement center,-58.373551,-34.644939,PARA LA TERCERA EDAD SANTA LUCIA,4
retirement center,-58.368729,-34.644153,DE LOS PATRICIOS,4
retirement center,-58.384408,-34.646256,LA NUEVA ESPERANZA DE BARRACAS,4
retirement center,-58.361408,-34.629978,RIBERA SUR,4
retirement center,-58.382655,-34.649047,ENRIQUE PAVON PEREYRA,4
retirement center,-58.415176,-34.656064,DEL SUR,0
retirement center,-58.424720,-34.642248,P. PATRICIOS- NUEVA POMPEYA- ASOCIACION CIVIL,4
retirement center,-58.401079,-34.638726,POMPEYA-PARQUE DE LOS PATRICIOS,4
retirement center,-58.431553,-34.645695,ABUELOS DEL RIESTRA,4
retirement center,-58.428789,-34.647451,NUEVA ARGENTINA,4
retirement center,,,DIGNIDAD,0
retirement center,-58.364404,-34.637093,BENITO QUINQUELA MARTIN,4
retirement center,-58.398749,-34.651079,ROBUSTIANA SAN MARTIN,4
retirement center,-58.373055,-34.639853,DE LA INDUSTRIA DEL GAS POR NUESTROS DERECHOS,4
retirement center,-58.433762,-34.646105,6 DE ENERO,4
retirement center,-58.406318,-34.631556,ESPERANZA VIVA,4
retirement center,-58.386912,-34.630190,PLAZA CONSTITUCION,1
retirement center,-58.429059,-34.654739,ETERNA PRIMAVERA,0
retirement center,-58.397501,-34.631470,ALMAFUERTE,4
