lat,long,id,object,name,comune
-34.6010550786978,-58.3824383808245,1355,public WiFi location,Teatro Colón,1
-34.5834025294832,-58.4186737209999,1354,public WiFi location,Ministerio de Ambiente y Espacio Publico - Jardín Botánico,14
-34.5931203288775,-58.3746145336963,1353,public WiFi location,Torre Monumental - Centro de Informes de Museos,1
-34.6395850988822,-58.4086560696891,1352,public WiFi location,Polideportivo Parque Patricios,4
-34.63290710494,-58.4447617841128,1351,public WiFi location,Polideportivo Chacabuco,7
-34.6219408053394,-58.491802763223,1350,public WiFi location,Polideportivo Pomar,10
-34.6677723599491,-58.4961512700635,1348,public WiFi location,Polideportivo Dorrego,9
-34.6346958022058,-58.525532408329,1347,public WiFi location,Estación de Combis Puerto Madero,9
-34.6322732149446,-58.4411009194112,1344,public WiFi location,Subsede Comunal 7,7
-34.6456803774604,-58.4849111882715,1343,public WiFi location,Subsede Comunal 9,9
-34.6237277072939,-58.3937047814704,1341,public WiFi location,Subsede Comunal 3 RC,3
-34.588922581605,-58.3936257447122,1340,public WiFi location,Subsede Comunal 2 RC,2
-34.6013384659779,-58.4963222238925,1339,public WiFi location,Subsede Comunal 11,11
-34.659690705259,-58.5050901227551,1338,public WiFi location,Sede de Comuna 9,9
-34.6847103855944,-58.4553385709999,1337,public WiFi location,Sede de Comuna 8,8
-34.6301555653832,-58.4670021929804,1336,public WiFi location,Sede de Comuna 7 RC,7
-34.6088110284662,-58.4311977233421,1335,public WiFi location,Sede de Comuna 6 RC,6
-34.6230513970428,-58.4126589451862,1334,public WiFi location,Sede de Comuna 5 RC,5
-34.6504766972091,-58.4246528238924,1333,public WiFi location,Sede de Comuna 4,4
-34.6029258037964,-58.3969104940854,1332,public WiFi location,Sede de Comuna 3,3
-34.5966672734247,-58.398843215301,1331,public WiFi location,Sede de Comuna 2,2
-34.5869884020329,-58.4412537875197,1330,public WiFi location,Sede de Comuna 15 RC,15
-34.5872362218366,-58.4094356167977,1329,public WiFi location,Sede de Comuna 14 RC,14
-34.5537821362625,-58.4640257642185,1328,public WiFi location,Sede de Comuna 13 RC (2),13
-34.5537821362625,-58.4640257642185,1327,public WiFi location,Sede de Comuna 13 RC,13
-34.568793102478,-58.4829174322358,1326,public WiFi location,Sede de Comuna 12 RC,12
-34.6083646509668,-58.5159950164007,1325,public WiFi location,Sede de Comuna 11 RC,11
-34.631782073125,-58.4834402088205,1324,public WiFi location,Sede de Comuna 10,10
-34.6206943528891,-58.3693544705291,1323,public WiFi location,Sede de Comuna 1 - Ex Padelai,1
-34.587741487986,-58.3920633991447,1322,public WiFi location,Cementerio de Recoleta,2
-34.5792142127002,-58.4189153449358,1318,public WiFi location,Teatro Sarmiento,14
-34.5687229996412,-58.5072411180313,1316,public WiFi location,Museo Cornelio Saavedra,12
-34.5909015149309,-58.3799281142343,1315,public WiFi location,Museo Fernandez Blanco,1
-34.6150277981534,-58.4482561688671,1314,public WiFi location,Museo Luis Perlotti,6
-34.5798337766253,-58.405193457689,1313,public WiFi location,Museo José Hernández,14
-34.6295762750908,-58.3569527157363,1311,public WiFi location,Museo del Cine,4
-34.610448696541,-58.3720756782359,1310,public WiFi location,Museo de la Ciudad,1
-34.6218932751909,-58.3707228298668,1309,public WiFi location,Museo de Arte Moderno (MAMBA),1
-34.6016428199661,-58.4079201424532,1308,public WiFi location,Museo Carlos Gardel,3
-34.6150277981534,-58.4482561688671,1307,public WiFi location,Museo de Esculturas Luis Perlotti,6
-34.5761766943104,-58.4835681109282,1305,public WiFi location,Teatro 25 de Mayo,12
-34.6463659055867,-58.5209647328291,1304,public WiFi location,Biblioteca Hernández,9
-34.5616012524313,-58.4487213145965,1303,public WiFi location,Biblioteca Reina Batata (Infantil),13
-34.6374599361024,-58.4075573257288,1301,public WiFi location,Biblioteca Enrique Banchs,4
-34.6481414640518,-58.4364434362011,1300,public WiFi location,Biblioteca Javier Villafañe,7
-34.6677559900079,-58.4970633560937,1299,public WiFi location,Biblioteca Benito Lynch,9
-34.6354224360637,-58.3590382949462,1298,public WiFi location,Biblioteca  Joaquin V Gonzalez,4
-34.6340561219499,-58.4383368931647,1296,public WiFi location,Biblioteca Estanislao del Campo,7
-34.6347521675363,-58.5264183919838,1295,public WiFi location,Biblioteca Miguel Cané,9
-34.6147190167285,-58.3881375128311,1294,public WiFi location,Biblioteca Alfonsina Storni y Martín Del Barco Centenera,1
-34.599491226542,-58.3891346330003,1293,public WiFi location,Biblioteca Manuel Gálvez,1
-34.5649452255431,-58.4616862674174,1290,public WiFi location,Biblioteca José Mármol,13
-34.6768104326257,-58.4749577923524,1289,public WiFi location,Biblioteca El Progreso,8
-34.624605602224,-58.3914784393026,1288,public WiFi location,Biblioteca Del Docente,3
-34.5813524825881,-58.4238732709212,1287,public WiFi location,Biblioteca Carlos Guido y Spano,14
-34.5993148523254,-58.5108943448392,1286,public WiFi location,Biblioteca Antonio Devoto,11
-34.5913558455624,-58.4503632008697,1285,public WiFi location,Biblioteca Baldomero Fernández Moreno,15
-34.6355542952125,-58.3821441990908,1277,public WiFi location,HOSPITAL C.TOBAR GARCIA,4
-34.6365417802164,-58.3818757602047,1276,public WiFi location,HOSPITAL T.BORDA,4
-34.6302462723121,-58.3755798287977,1275,public WiFi location,HOSPITAL M.FERRER,4
-34.6055973716177,-58.4600880921142,1273,public WiFi location,HOSPITAL PEDRO LAGLEYSE,11
-34.607088234185,-58.4328773180102,1272,public WiFi location,HOSPITAL MARIE CURIE,6
-34.634350530468,-58.3913584369387,1271,public WiFi location,HOSPITAL B. UDAONDO,4
-34.6085337392116,-58.434992192874,1270,public WiFi location,HOSPITAL LUIS PASTEUR,6
-34.6372222500782,-58.3929971575529,1269,public WiFi location,HOSPITAL MUÑIZ,4
