long,lat,id,object,name
-58.4614910346889,-34.6437565970805,1,premetro station,INTENDENTE SAGUIER
-58.4564145813745,-34.6486005420351,2,premetro station,BALBASTRO (CEMENTERIO DE FLORES)
-58.4500470792493,-34.6594991467729,3,premetro station,ANA MARÍA JANER
-58.4466067042219,-34.6622249467795,4,premetro station,FERNANDEZ DE LA CRUZ
-58.4485133000082,-34.6653680271808,5,premetro station,PTE. ILLIA (LACARRA)
-58.4543251886428,-34.6690901145736,6,premetro station,PARQUE DE LA CIUDAD
-58.4579600157419,-34.6724582308545,7,premetro station,CECILIA GRIERSON
-58.4600751595769,-34.6745264482372,8,premetro station,ESCALADA
-58.4595995738502,-34.6883531329925,9,premetro station,GENERAL SAVIO
-58.4580715309316,-34.686081208835,10,premetro station,GABINO EZEIZA (AV. CNEL. ROCA)
-58.4620442328871,-34.6830667667194,11,premetro station,NICOLÁS DESCALZI
-58.4653695788337,-34.6805719548239,12,premetro station,LARRAZÁBAL
-58.466124720094,-34.6824577608497,13,premetro station,CENTRO CIVICO LUGANO
-58.466923438707,-34.6808829242265,14,premetro station,ANA DÍAZ
-58.4564801393051,-34.6544327801137,15,premetro station,MARIANO ACOSTA (BO. R. CARRILLO)
-58.4539052789963,-34.6564409551024,16,premetro station,SOMELLERA
-58.4488613949717,-34.6604582616429,17,premetro station,NTRA. SRA. DE FÁTIMA
-58.4644621725649,-34.6781309500937,18,premetro station,POLA
