index,Name,Longitude,Latitude,Type,b_id
0,ALFONSINA STORNI,-58.38814023,-34.61471615,library,36
1,ALVARO YUNQUE,-58.46355244,-34.68500227,library,30
2,ANTONIO DEVOTO,-58.51089426,-34.59931264,library,23
3,BALDOMERO F. MORENO,-58.45036314,-34.59135317,library,26
4,BENITO LYNCH,-58.49687189,-34.66767394,library,18
5,CARLOS GUIDO Y SPANO,-58.42387420000001,-34.58134893,library,0
6,CIRCE,-58.38913737,-34.59948861,library,43
7,CNGO. LUIS CHORROARIN,-58.46510887,-34.68379956,library,30
8,CORNELIO SAAVEDRA,-58.50724152,-34.56872052,library,15
9,ENRIQUE BANCHS,-58.40755681,-34.63745675,library,40
10,ESTANISLAO DEL CAMPO,-58.4383377,-34.63405164,library,9
11,EVARISTO CARRIEGO,-58.41611355,-34.59414261,library,0
12,HILARIO ASCASUBI,-58.49222268,-34.62333665,library,8
13,JAVIER VILLAFAÑE,-58.43569399999999,-34.647048,library,19
14,JOAQUIN V GONZALEZ,-58.35903829,-34.63541964,library,24
15,JOSE HERNANDEZ,-58.52096278,-34.64636248,library,21
16,JOSE MARMOL,-58.46168695,-34.5649432,library,1
17,JULIO C. SAGUIER,-58.47450038,-34.66598172,library,30
18,JULIO CORTAZAR,-58.42980236,-34.59788545,library,6
19,LA PRENSA,-58.40971423,-34.64504439,library,40
20,LEOPOLDO LUGONES,-58.45259477,-34.56383684,library,1
21,MANUEL GALVEZ,-58.38913737,-34.59948861,library,43
22,MARIANO PELLIZA,-58.45644862,-34.63780971,library,19
23,MARTIN DEL BARCO CENTENERA,-58.38814023,-34.61471615,library,36
24,MIGUEL CANE,-58.42634721,-34.62500985,library,39
25,NORA LANGE,-58.459003599999996,-34.67375025,library,30
26,RAFAEL OBLIGADO,-58.48392036,-34.60957834,library,31
27,REINA BATATA,-58.44872118,-34.56159884,library,1
28,RICARDO GÜIRALDES,-58.38594652,-34.59363838,library,35
29,MAFALDA,-58.379490000000004,-34.58452,library,35
0,36 BILLARES,-58.38429726,-34.60917253,cultural center,36
1,ABM,-58.383558900000004,-34.596816600000004,cultural center,35
2,ACADEMIA NACIONAL DE LA HISTORIA DE LA REPUBLICA ARGENTINA,-58.37073924,-34.60984805,cultural center,36
3,ACADEMIA PORTE�A DEL LUNFARDO,-58.38547144,-34.61862787,cultural center,38
4,ACCION,-58.372772,-34.61132089,cultural center,36
5,ACERCANDONOS MOVIMIENTO CULTURAL,-58.37841769,-34.62364266,cultural center,38
6,ACME AGENCY. CASA CENTRAL.,-58.37931013,-34.60545886,cultural center,43
7,ACME AGENCY. SUCURSAL ARENALES.,-58.37979734,-34.59407052,cultural center,35
8,ACONCAGUA,-58.37313927,-34.61853468,cultural center,41
9,ACQUA RECORDS,-58.39207388,-34.60450396,cultural center,43
10,AD-HOC VILLELA EDITOR,-58.38736633,-34.6006537,cultural center,43
11,AGALMA.ARTE,-58.37980286,-34.59147692,cultural center,35
12,AGAPE LIBROS,-58.37821079,-34.59937639,cultural center,43
13,ALBERTO CASARES,-58.3795156,-34.60212434,cultural center,43
14,ALETHEIA,-58.37532533,-34.59831733,cultural center,35
15,ALFAOMEGA GRUPO EDITOR,-58.38577211,-34.5981565,cultural center,35
