LAT,LNG,ID,NOMBRE,CALLE,ALTURA,PISO_DEPTO,DIRECCION_NORMALIZADA,BARRIO,COMUNA,CP,CPA,DIAS_Y_HORARIO,TELEFONOS,EMAIL,WEB,ACTIVIDAD,OTRAS_ACTIDADES,DEPENDENCIA,PUBLICO,SECTOR
-34.60917253,-58.38429726,192,36 BILLARES,DE MAYO AV.,1265,,DE MAYO AV. 1265,MONSERRAT,COMUNA 01,1085,C1085ABC,,4381-5696,INFO@LOS36BILLARES.COM.AR,WWW.LOS36BILLARES.COM.AR,BAR NOTABLE,,,GENERAL,PRIVADO
-34.5968166,-58.3835589,1467,ABM,"ALVEAR, MARCELO T. DE",1155,,"ALVEAR, MARCELO T. DE 1155",RETIRO,COMUNA 01,1058,C1058AAQ,LUNES A VIERNES DE 9 A 22,4816-1314 / 1644,INFO@ABM.EDU.AR,WWW.ABM.EDU.AR,ESPACIO DE FORMACION (SEMINARIOS Y TALLERES),,,GENERAL,PRIVADO
-34.60984805,-58.37073924,1788,ACADEMIA NACIONAL DE LA HISTORIA DE LA REPUBLICA ARGENTINA,BALCARCE,139,,BALCARCE 139,MONSERRAT,COMUNA 01,1064,C1064AAC,,343-4416 // 4331-4633 // 4331-5147,,WWW.AN-HISTORIA.ORG.AR,MUSEO,,,GENERAL,ONG
-34.61862787,-58.38547144,296,ACADEMIA PORTEÑA DEL LUNFARDO,ESTADOS UNIDOS,1379,,ESTADOS UNIDOS 1379,CONSTITUCION,COMUNA 01,1101,C1101ABA,LUNES A VIERNES DE 14:00 A 19:00,4383-2393,OLIVIERIEDITOR@HOTMAIL.COM,HTTP://WWW.TODOTANGO.COM/ALUNFARDO/,ESPACIO DE FORMACION (SEMINARIOS Y TALLERES),,,GENERAL,ONG
-34.61132089,-58.372772,1147,ACCION,MORENO,457,,MORENO 457,MONSERRAT,COMUNA 01,1091,C1091AAI,,4343-6474,,,LIBRERIA,,,GENERAL,PRIVADO
-34.62364266,-58.37841769,1714,ACERCANDONOS MOVIMIENTO CULTURAL,COCHABAMBA,894,,COCHABAMBA 894,CONSTITUCION,COMUNA 01,1150,C1150AAN,,4300-9506 // 6088-4426,ACERCANDONOSMOVIMIENTOCULTURAL@GMAIL.COM,WWW.ACERCANDONOSCULTURA.COM.AR,EDITORIAL,,,GENERAL,PRIVADO
-34.60545886,-58.37931013,1148,ACME AGENCY. CASA CENTRAL.,SUIPACHA,245,PISO 1,SUIPACHA 245,SAN NICOLAS,COMUNA 01,1008,C1008AAE,,4328-1662,ACME@REDYNET.COM.AR,,LIBRERIA,,,GENERAL,PRIVADO
-34.59407052,-58.37979734,1813,ACME AGENCY. SUCURSAL ARENALES.,ARENALES,885,,ARENALES 885,RETIRO,COMUNA 01,1061,C1061AAC,,4393-8830,ACME@REDYNET.COM.AR,,LIBRERIA,,,GENERAL,PRIVADO
-34.61853468,-58.37313927,2165,ACONCAGUA,ESTADOS UNIDOS,502,,ESTADOS UNIDOS 502,SAN TELMO,COMUNA 01,1101,C1101AAL,,,,,BAR IDENTIFICADO,,,,
-34.60450396,-58.39207388,797,ACQUA RECORDS,CORRIENTES AV.,1792,,CORRIENTES AV. 1792,SAN NICOLAS,COMUNA 01,1042,C1042AAQ,,"4371-6978, INTERNO 131",INFO@ACQUA-RECORDS.COM,HTTP://WWW.ACQUA-RECORDS.COM/,SELLO DISCOGRAFICO,,,GENERAL,PRIVADO
-34.6006537,-58.38736633,1149,AD-HOC VILLELA EDITOR,VIAMONTE,1450,,VIAMONTE 1450,SAN NICOLAS,COMUNA 01,1055,C1055ABB,,4371-0778,INFO@ADHOC-VILLELA.COM,WWW.ADHOC-VILLELA.COM,LIBRERIA,,,GENERAL,PRIVADO
