index,Name,Longitude,Latitude,Type,b_id
0,CMB N° 2,-58.4829869068093,-34.6221564665346,barrio medical center,31
1,CMB N° 3,-58.5264647514946,-34.634807560286,barrio medical center,21
2,CMB N° 4,-58.4525542552639,-34.6356352876892,barrio medical center,19
3,CMB N° 6,-58.3936644526942,-34.6196273627075,barrio medical center,5
4,CMB N° 7,-58.519240972146704,-34.6418220955856,barrio medical center,21
5,CMB N° 8,-58.4316921574601,-34.640974479212105,barrio medical center,9
6,CMB N° 9,-58.4713481799362,-34.6698415632881,barrio medical center,30
8,CMB N° 11,-58.4553398663073,-34.5779881666476,barrio medical center,28
9,CMB N° 12,-58.465177127910394,-34.6192457432647,barrio medical center,19
10,CMB N° 13,-58.4797174059797,-34.6120798462711,barrio medical center,31
11,CMB N° 18,-58.4227979176079,-34.652668550114,barrio medical center,46
12,CMB N° 19,-58.52671409213821,-34.613622588674396,barrio medical center,45
13,CMB N° 20,-58.4943582168842,-34.6493390059638,barrio medical center,18
14,CMB N° 23,-58.4297412937434,-34.6297684853076,barrio medical center,9
15,CMB N° 24,-58.4040212047891,-34.6327821014228,barrio medical center,40
16,CMB N° 25,-58.4651653789148,-34.6478958805152,barrio medical center,10
17,CMB N°26,-58.463199016137,-34.5517022081776,barrio medical center,2
18,CMB N° 27,-58.4448228254196,-34.6051857799064,barrio medical center,6
19,CMB N° 28,-58.4849902549043,-34.6658512004875,barrio medical center,30
20,CMB N°29,-58.4033261203016,-34.6123975983726,barrio medical center,4
21,CMB N° 30,-58.370523380744295,-34.6335041740733,barrio medical center,32
22,CMB N° 31,-58.446102357288396,-34.6394070438117,barrio medical center,9
23,CMB N° 32,-58.50402056138329,-34.6279948642509,barrio medical center,22
24,CMB N° 33,-58.4766418292919,-34.5447883287519,barrio medical center,15
25,CMB N° 35,-58.4988217164645,-34.591229509487704,barrio medical center,25
26,CMB N° 36,-58.4860576068175,-34.5852125394914,barrio medical center,47
27,CMB N° 37,-58.3717945186701,-34.6461890403859,barrio medical center,32
28,CMB N° 38,-58.477811305781294,-34.6518838003431,barrio medical center,10
29,CMB N° 1,-58.424539556224204,-34.6458913282137,barrio medical center,46
30,CMB N° 39,-58.43325617108889,-34.660808070848695,barrio medical center,37
31,CMB N° 34,-58.441181684895,-34.5894119084292,barrio medical center,26
32,CMB N° 5,-58.5053021618344,-34.6110172752069,barrio medical center,23
33,CMB N°17,-58.4863959977711,-34.565207153453805,barrio medical center,14
0,Centro de Salud Nivel 1 Retiro 3 (CeSAC Nº 47),-58.379536279174005,-34.5846192395719,community health center,35
