X,Y,NOMBRE,DIRECCION,DIRECCION_NORMALIZADA,BARRIO,COMUNA,CODIGO_POSTAL,CODIGO_POSTAL_ARGENTINO
-58.43542068,-34.64228208,ABRAKADABRA,AV. COBO 1457,COBO AV. 1457,PARQUE CHACABUCO,COMUNA 07,1424,C1424DEJ
-58.44863168,-34.59535216,ALAS PARA VIVIR,HUMBOLDT 370,HUMBOLDT 370,VILLA CRESPO,COMUNA 15,1414,C1414CSH
-58.36961343,-34.63827507,ALICIA EN EL PAIS DE LAS MARAVILLAS,AV.REGIMIENTO PATRICIOS 911,REGIMIENTO DE PATRICIOS AV. 911,BARRACAS,COMUNA 04,1265,C1265AEC
-58.35569633,-34.63602197,AMOR Y LUCHA,GRAL. GREGORIO ARAOZ DE LAMADRID 243/45,"ARAOZ DE LAMADRID, GREGORIO, GRAL. 243",BOCA,COMUNA 04,1166,C1166AAC
-58.39762757,-34.60596009,AÑOS FELICES POR SIEMPRE,SARMIENTO 2175,SARMIENTO 2175,BALVANERA,COMUNA 03,1044,C1044AAG
-58.45886073,-34.63163334,ARCO IRIS DE ILUSIONES,JOSE BONIFACIO 2249,"BONIFACIO, JOSE 2249",FLORES,COMUNA 07,1406,C1406GXW
-58.44835879,-34.54851951,BROTECITOS,VICTORINO DE LA PLAZA 1060,"PLAZA, VICTORINO DE LA, DR. 1060",BELGRANO,COMUNA 13,1428,C1428CBD
-58.37825903,-34.59631442,CAIPLI,MARCELO T. DE ALVEAR 787,"ALVEAR, MARCELO T. DE 787",RETIRO,COMUNA 01,1058,C1058AAI
-58.40710439,-34.64424499,CAIPLI SUR,ATUEL 557,ATUEL 557,PARQUE PATRICIOS,COMUNA 04,1437,C1437EPG
-58.45658158,-34.68590749,CASITA AZUL Y BLANCA DE LOS DUENDES,AV. ROCA 5400 E/ LARRAZABAL Y SOLDADO DE LA FRONTERA,"ROCA, CNEL. AV. 5400",VILLA RIACHUELO,COMUNA 08,1439,C1439DVQ
-58.43896734,-34.66071921,CASITA SAN JOSE,SAN PEDRITO 3061,SAN PEDRITO 3061,VILLA SOLDATI,COMUNA 08,1437,C1437BPE
-58.38380712,-34.62399822,CASITAS,COCHABAMBA 1252/54,COCHABAMBA 1252,CONSTITUCION,COMUNA 01,1150,C1150AAV
-58.43643636,-34.66215926,CHONITO,CONDOR 2875/77,CONDOR 2875,VILLA SOLDATI,COMUNA 08,1437,C1437FKC
-58.51115482,-34.6656104,CONEJO TRAVIESO,SALADILLO 2449,SALADILLO 2449,MATADEROS,COMUNA 09,1440,C1440FFW
-58.45620315,-34.58259459,CRECER JUNTOS,"AVENIDA FOREST 861, 1º PISO",FOREST AV. 861,CHACARITA,COMUNA 15,1427,C1427CEF
-58.46866023,-34.62899922,DEJANDO HUELLA,YERBAL 2789,YERBAL 2789,FLORES,COMUNA 07,1406,C1406GKI
-58.37196251,-34.62814355,DON GATO,DR. ENRIQUE FINOCHIETTO 473,FINOCHIETTO ENRIQUE DR. 473,BARRACAS,COMUNA 04,1143,C1143ABA
-58.4941945,-34.66866567,DONDE BRILLA EL SOL,"T3, C 36 (AV. EVA PERON 6600)","PERON, EVA AV. 6600",VILLA LUGANO,COMUNA 08,1439,C1439BTQ
-58.39491324,-34.6579553,EL ALFARERO,LUNA 1955,LUNA 1955,BARRACAS,COMUNA 04,1437,C1437FFQ
-58.47922395,-34.67435806,EL REFUGIO DE LOS SUEÑOS,MURGUIONDO 3915,MURGUIONDO 3915,VILLA LUGANO,COMUNA 08,1439,C1439FQU
-58.45182177,-34.65510774,EL SOÑADO,PORTELLA 2500,PORTELA 2500,VILLA SOLDATI,COMUNA 08,1437,C1437BZB
,,ESTRELLITA,MARIANO ACOSTA Y BATTLE ORDOÑEZ MZ.1 C.69,,,,,
-58.45276506,-34.63768959,FLORECIENDO,LAUTARO 971,LAUTARO 971,FLORES,COMUNA 7,,
-58.41152996,-34.61244942,FUNDAMIND,24 DE NOVIEMBRE 140,24 DE NOVIEMBRE 140,BALVANERA,COMUNA 03,1170,C1170AAD
-58.4189928,-34.61341676,FUTUROS LIBRES,COLOMBRES 149,COLOMBRES 149,ALMAGRO,COMUNA 05,1177,C1177AAC
-58.49526614,-34.64921867,GESTITOS,TAPALQUE 5226,TAPALQUE 5226,MATADEROS,COMUNA 09,1440,C1440AEH
-58.51401428,-34.65123227,GIRASOLES,AVENIDA EMILIO CASTRO 6665,"CASTRO, EMILIO AV. 6665",LINIERS,COMUNA 09,1408,C1408IGD
-58.38960215,-34.61888039,GURISES,ESTADOS UNIDOS 1649,ESTADOS UNIDOS 1649,CONSTITUCION,COMUNA 01,1101,C1101ABG
