index,Name,Longitude,Latitude,Type,b_id
0,CASA DE LOS NINOS Y ADOLESCENTES DE BARRIO ILLIA,-58.43450464,-34.64666887,boys and girls club,46
1,CASA DE LOS NINOS Y ADOLESCENTES DE BARRACAS,-58.39673179,-34.65431061,boys and girls club,32
2,CASA DE LOS NINOS Y ADOLESCENTES DE LA BOCA-PLAZA MATHEU,-58.36620032,-34.63969275,boys and girls club,24
3,CASA DE LOS NINOS Y ADOLESCENTES DE LUGANO,-58.46549138,-34.68719966,boys and girls club,30
0,AGRONOMIA,-58.47803578963355,-34.591132775384715,child development center,25
1,ALBARELLOS,-58.51248223325111,-34.579053697789284,child development center,16
2,ANDRES FERREYRA,-58.43250250118925,-34.6086573881956,child development center,11
4,BARRIO COPELLO,-58.473531419602615,-34.66654060895771,child development center,30
5,CHACABUCO,-58.44489630943202,-34.63310275578877,child development center,9
6,CRECIENDO,-58.38370693339062,-34.63335306169521,child development center,32
7,DIENTITOS DE LECHE,-58.37927741388898,-34.60015007296135,child development center,43
8,ESPORA,-58.40475894547963,-34.65490807071229,child development center,46
9,FANTASSIA Y GARABATOS,-58.38849518794306,-34.62412084210056,child development center,38
10,HERRERA,-58.378214683245155,-34.636176058860585,child development center,32
11,MI MUNDO FELIZ,-58.47588875807253,-34.597121314340825,child development center,27
12,PATRICIOS,-58.41161050562268,-34.639055961936876,child development center,40
13,PIEDRABUENA,-58.49265909917806,-34.67764626420168,child development center,30
14,PRINGLES,-58.42776305851264,-34.60801203254947,child development center,12
15,QUINQUELA MARTIN,-58.36055591345499,-34.63896784258825,child development center,24
16,RAYITO DE SOL,-58.45859821275071,-34.67316251411827,child development center,37
17,SAAVEDRA,-58.4777124439369,-34.54944501734207,child development center,15
18,TUTZO DE BONIFACIO,-58.506882383813846,-34.6325112552105,child development center,17
19,VERA PEÑALOZA,-58.456215032043744,-34.580251247681424,child development center,26
0,ABRAKADABRA,-58.43542068,-34.64228208,early childhood center,9
1,ALAS PARA VIVIR,-58.44863168,-34.59535216,early childhood center,6
2,ALICIA EN EL PAIS DE LAS MARAVILLAS,-58.36961343,-34.63827507,early childhood center,32
3,AMOR Y LUCHA,-58.35569633,-34.63602197,early childhood center,24
4,ANOS FELICES POR SIEMPRE,-58.39762757,-34.60596009,early childhood center,4
5,ARCO IRIS DE ILUSIONES,-58.45886073,-34.63163334,early childhood center,19
6,BROTECITOS,-58.44835879,-34.54851951,early childhood center,1
7,CAIPLI,-58.37825903,-34.59631442,early childhood center,35
8,CAIPLI SUR,-58.40710439,-34.64424499,early childhood center,40
9,CASITA AZUL Y BLANCA DE LOS DUENDES,-58.45658158,-34.68590749,early childhood center,34
10,CASITA SAN JOSE,-58.43896734,-34.66071921,early childhood center,37
11,CASITAS,-58.38380712,-34.62399822,early childhood center,38
12,CHONITO,-58.43643636,-34.66215926,early childhood center,37
13,CONEJO TRAVIESO,-58.51115482,-34.6656104,early childhood center,18
14,CRECER JUNTOS,-58.45620315,-34.58259459,early childhood center,26
15,DEJANDO HUELLA,-58.46866023,-34.62899922,early childhood center,19
16,DON GATO,-58.37196251,-34.62814355,early childhood center,32
17,DONDE BRILLA EL SOL,-58.49419449999999,-34.66866567,early childhood center,30
18,EL ALFARERO,-58.39491324,-34.6579553,early childhood center,32
19,EL REFUGIO DE LOS SUENOS,-58.47922395,-34.67435806,early childhood center,30
20,EL SONADO,-58.45182177,-34.65510774,early childhood center,37
22,FLORECIENDO,-58.45276506,-34.63768959,early childhood center,19
23,FUNDAMIND,-58.41152996,-34.61244942,early childhood center,4
24,FUTUROS LIBRES,-58.4189928,-34.61341676,early childhood center,12
25,GESTITOS,-58.49526614,-34.64921867,early childhood center,18
26,GIRASOLES,-58.51401428,-34.65123227,early childhood center,21
27,GURISES,-58.38960215,-34.61888039,early childhood center,38
28,IRQICHAY,-58.44254726,-34.66311313,early childhood center,37
29,JUANCITOS,-58.39061483,-34.61896551,early childhood center,38
31,LA HORMIGUITA VIAJERA,-58.43604674,-34.64845944,early childhood center,19
32,LA LECHERITA DEL SUR,-58.38862947,-34.65465871,early childhood center,32
33,LA MONA JACINTA,-58.51280367,-34.66549011,early childhood center,18
34,LA REINA BATATA,-58.47531087,-34.65685909,early childhood center,10
