long,lat,fed_asoc,web,e_mail,telefono,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.4414540262024,-34.5719318849302,Asociación Metropolitana de Squash,www.metrosquash.com.ar,metrosquash@fibertel.com.ar,4771-9719, CABILDO AV.,450,Colegiales,Comuna 13,1426,C1426AAR
-58.4038467664154,-34.6375159592299,Federación Metropolitana de Taekwondo,,taekwondometropolitano@hotmail.com,4-912-0097, ZAVALETA,59,Parque Patricios,Comuna 4,1437,C1437EYA
-58.4412220368555,-34.6676524393422,Asociación Metropolitana de Cazadores y Tiradores con Arco,,amtca@yahoo.com.ar / cdamtca@yahoo.com.ar,156116861," ROCA, CNEL. AV.",3490,Villa Soldati,Comuna 8,1437,C1437KAN
-58.4168477994321,-34.6196633951995,Federación Metropolitana de Balonmano,www.femebal.com,secretariatecnica@femebal.com,4957-0644/7862, BOEDO AV.,591,Almagro,Comuna 5,1218,C1218AAB
-58.4160164695928,-34.6067146089176,Federación Porteña de Patín,www.fepp.com.ar,patin@fibertel.com.ar / secretariafpp@gmail.com,4863-8924, BILLINGHURST,319,Almagro,Comuna 5,1174,C1174ABE
-58.4420900564415,-34.6038674085451,Federación de Tenis de Mesa de la Ciudad de Buenos Aires,www.fetemba.org.ar,info@fetemba.org.ar / presidencia@fetemba.org.ar / tesoreria@fetemba.org.ar,156-121-7077, ACOYTE,1347,Villa Crespo,Comuna 15,1414,C1414BZE
-58.4393613409869,-34.5939926672294,Federación Metropolitana de Arte Marcial Chino Wu Shu,www.fedewushu.com.ar,crpavetti@hotmail.com (secretario),2059-1019/4371-0624 (OFICINA), AGUIRRE,934,Villa Crespo,Comuna 15,1414,C1414AST
-58.4147670127688,-34.6097818274225,Federación Metropolitana de Voley,www.metrovoley.org.ar,fmv@metrovoley.org.ar,4864-4566, SANCHEZ DE BUSTAMANTE,74,Almagro,Comuna 5,1173,C1173AAB
-58.39102484475,-34.5943133183827,Federación Argentina de Canoas,www.federcanoas.org.ar,fac@federcanoas.org.ar,, JUNCAL,1662,Recoleta,Comuna 2,1062,C1062ABV
-58.3782703133302,-34.5954335984918,Asociación Metropolitana de Padel,,padelmetropolitano@fibertel.com.ar,4556-1754, ESMERALDA,1075,Retiro,Comuna 1,1007,C1007ABM
-58.5008230906489,-34.5881006096643,Asociación Metropolitana de Futbol de Salón,www.metropolitanafutsal.com.ar,metrofutsal@hotmail.com,4586-0047 (lun a juev de 18:30 a 21)/ 15-6309-0391, NAZCA,4480,Villa Pueyrredon,Comuna 12,1419,C1419DFU
-58.3764709526244,-34.6026352830205,Asociación Argentina de Tenis,www.aat.com.ar,info@aat.com.ar / secconsejo@aat.com.ar,5277-6300 int. 329/ 4328-9154, MAIPU,471,San Nicolas,Comuna 1,1006,C1006ACC
-58.4638621660536,-34.5588536034485,Asociación Metropolitana de Tenis Adaptado,www.tenisadaptado.org.ar,aata_secretaria@yahoo.com.ar,(15) 4073-9142/15-4073-9142, MOLDES,2658,Belgrano,Comuna 13,1428,C1428CRR
-58.3961270721551,-34.5901661630462,Unión de Rugby Buenos Aires,www.urba.org.ar,administracion@urba.org.ar / difusion@urba.org.ar / presidente@urba.org.ar / tesorero@urba.org.ar / secretario@urba.org.ar,4805 5858/8036/7529," PACHECO DE MELO, JOSE ANDRES",2120,Recoleta,Comuna 2,1126,C1126AAH
-58.4194779735812,-34.5880853636077,Federación Argentina de Bochas,www.fabochas.com.ar,fabcapfed@yahoo.com.ar,4832-6188/ 4832-4742, PARAGUAY,4031,Palermo,Comuna 14,1425,C1425BSE
-58.3778777692155,-34.6013845419136,Asociación Metropolitana de Artes Marciales Chinas,www.amamarch.org,info@amamarch.org,4394-8266, TUCUMAN,784,San Nicolas,Comuna 1,1049,C1049AAP
-58.5178859313663,-34.6269166483709,Federación de Karate de la Ciudad de Buenos Aires,www.karate-ba.com,metropolitanadekarate@fibertel.com.ar,4648-0538, MARTIN FIERRO,5779,Monte Castro,Comuna 10,1408,C1408CTI
-58.438872244175,-34.5911296364412,Asociación Metropolitana de Ciclismo,,amciclismo@gmail.com,4777-3232, GODOY CRUZ,1209,Villa Crespo,Comuna 15,1414,C1414CYA
-58.3766927349638,-34.6079635328042,Asociación Argentina de Remeros Aficionados,www.remoargentina.org.ar,info@remoargentina.org.ar,4343-9321, RIVADAVIA AV.,717,San Nicolas,Comuna 1,1002,C1002AAF
-58.421446702925,-34.6052623171448,Federación Metropolitana de Billar,,femebi@yahoo.com.ar / femebi2011@gmail.com / Federaciónmetropolitanadebillar@yahoo.com.ar,4982-6307, MEDRANO AV.,468,Almagro,Comuna 5,1179,C1179AAH
-58.3766927349638,-34.6079635328042,Federación Argentina de Pato y Horseball,www.pato.org.ar,administracion@pato.org.ar / secretaria@pato.org.ar,011 4342-5271 /15-69858218, RIVADAVIA AV.,717,San Nicolas,Comuna 1,1002,C1002AAF
-58.4544077422318,-34.6406379725827,Liga Metropolitana de Beisbol,www.beisbolmetro.com.ar,presidencialmb@hotmail.com,15-6585-1965," CARRIEGO, EVARISTO",1054,Flores,Comuna 7,1406,C1406EID
-58.4008014282409,-34.6182268878216,Asociación Femenina Metropolitana de Basquet,www.afmb.org.ar,afmbbasquet@yahoo.com.ar,4941-5737, ALBERTI,760,Balvanera,Comuna 3,1223,C1223AAF
-58.4168041105712,-34.613536993474,Federación Atletica Metropolitana,www.webfam.com.ar,presidente@webfam.com.ar / info@webfam.com.ar,4864-2515," YRIGOYEN, HIPOLITO AV.",3549,Almagro,Comuna 5,1208,C1208ABC
-58.46366917231,-34.5419750675278,Federación de Cestoball de Capital Federal,www.cestobsll.org.ar,jplabake@fibertel.com.ar,4703-4545," RIVADAVIA MARTIN, COMODORO",1655,Nu\u00f1ez,Comuna 13,1429,C1429DBF
-58.4572307403131,-34.6191871809264,Federación Argentina de Futbol Silencioso,,fafs@argentina.com,15-6032-0166," ALVAREZ, DONATO, TTE. GRAL.",562,Flores,Comuna 7,1406,C1406BOQ
-58.3875054836623,-34.59850220151,Asociación de Patinadores Metropolitanos,,patinapm@gmail.com,4654-4782, PARAGUAY,1446,Recoleta,Comuna 2,1061,C1061ABB
-58.4882544346532,-34.6221131217858,Federación Argentina de Netball,www.netball.org.ar,info@netball.org.ar,4641-5940 / 15 59946548, BAHIA BLANCA,1290,Floresta,Comuna 10,1407,C1407ABX
