index,Name,Longitude,Latitude,Type,b_id
0,Asociación Metropolitana de Squash,-58.4414540262024,-34.5719318849302,sports club,28
1,Federación Metropolitana de Taekwondo,-58.4038467664154,-34.6375159592299,sports club,40
2,Asociación Metropolitana de Cazadores y Tiradores con Arco,-58.4412220368555,-34.6676524393422,sports club,37
3,Federación Metropolitana de Balonmano,-58.416847799432105,-34.6196633951995,sports club,12
4,Federación Porteña de Patín,-58.4160164695928,-34.606714608917606,sports club,12
5,Federación de Tenis de Mesa de la Ciudad de Buenos Aires,-58.4420900564415,-34.603867408545106,sports club,6
6,Federación Metropolitana de Arte Marcial Chino Wu Shu,-58.4393613409869,-34.5939926672294,sports club,6
7,Federación Metropolitana de Voley,-58.41476701276879,-34.6097818274225,sports club,12
8,Federación Argentina de Canoas,-58.39102484475001,-34.594313318382696,sports club,44
9,Asociación Metropolitana de Padel,-58.378270313330205,-34.5954335984918,sports club,35
10,Asociación Metropolitana de Futbol de Salón,-58.5008230906489,-34.5881006096643,sports club,16
11,Asociación Argentina de Tenis,-58.376470952624395,-34.602635283020504,sports club,43
12,Asociación Metropolitana de Tenis Adaptado,-58.4638621660536,-34.5588536034485,sports club,1
13,Unión de Rugby Buenos Aires,-58.3961270721551,-34.5901661630462,sports club,44
14,Federación Argentina de Bochas,-58.4194779735812,-34.588085363607696,sports club,0
15,Asociación Metropolitana de Artes Marciales Chinas,-58.377877769215495,-34.6013845419136,sports club,43
16,Federación de Karate de la Ciudad de Buenos Aires,-58.5178859313663,-34.6269166483709,sports club,33
17,Asociación Metropolitana de Ciclismo,-58.438872244174995,-34.591129636441195,sports club,6
18,Asociación Argentina de Remeros Aficionados,-58.3766927349638,-34.6079635328042,sports club,43
19,Federación Metropolitana de Billar,-58.421446702924996,-34.6052623171448,sports club,12
20,Federación Argentina de Pato y Horseball,-58.3766927349638,-34.6079635328042,sports club,43
21,Liga Metropolitana de Beisbol,-58.4544077422318,-34.640637972582695,sports club,19
22,Asociación Femenina Metropolitana de Basquet,-58.400801428240904,-34.6182268878216,sports club,4
23,Federación Atletica Metropolitana,-58.416804110571206,-34.613536993474,sports club,12
