WKT,id,nombre,tipo,etapa,etapa_obse,estado,subcategor,calle,altura,calle2,direccion_,barrio,comuna
"POINT (-58.3824383808245 -34.6010550786978)",1355,Teatro Colón,Cultura,,Proyecto 125,Disponible,Teatros,Cerrito,628,,CERRITO 628,San Nicolas,Comuna 1
"POINT (-58.4186737209999 -34.5834025294832)",1354,Ministerio de Ambiente y Espacio Publico - Jardín Botánico,Gobierno,,Proyecto 125,Disponible,Gobierno,SANTA FE AV.,3917,,SANTA FE AV. 3917,Palermo,Comuna 14
"POINT (-58.3746145336963 -34.5931203288775)",1353,Torre Monumental - Centro de Informes de Museos,Cultura,,Proyecto 125,Disponible,Museos,DEL LIBERTADOR AV.,49,,DEL LIBERTADOR AV. 49,Retiro,Comuna 1
"POINT (-58.4086560696891 -34.6395850988822)",1352,Polideportivo Parque Patricios,Espacio Público,,Proyecto 125,Disponible,Deportes,Pepiri,135,,PEPIRI 135,Parque Patricios,Comuna 4
"POINT (-58.4447617841128 -34.63290710494)",1351,Polideportivo Chacabuco,Espacio Público,,Proyecto 125,Disponible,Deportes,Av. Eva Peron,1410,,"PERON, EVA AV. 1410",Parque Chacabuco,Comuna 7
"POINT (-58.491802763223 -34.6219408053394)",1350,Polideportivo Pomar,Espacio Público,,Proyecto 125,Disponible,Deportes,Mercedes,1371,,MERCEDES 1371,Floresta,Comuna 10
"POINT (-58.4961512700635 -34.6677723599491)",1348,Polideportivo Dorrego,Espacio Público,,Proyecto 125,Disponible,Deportes,Monte,6679,,MONTE 6679,Mataderos,Comuna 9
"POINT (-58.525532408329 -34.6346958022058)",1347,Estación de Combis Puerto Madero,Transporte,,Proyecto 125,Disponible,Transporte,Madero,399,,MADERO 399,Liniers,Comuna 9
"POINT (-58.4411009194112 -34.6322732149446)",1344,Subsede Comunal 7,Gobierno,,Proyecto 125,Disponible,Sede Comunal,Emilio Mitre,956,,"MITRE, EMILIO 956",Parque Chacabuco,Comuna 7
"POINT (-58.4849111882715 -34.6456803774604)",1343,Subsede Comunal 9,Gobierno,,Proyecto 125,Disponible,Sede Comunal,DIRECTORIO AV.,4344,,DIRECTORIO AV. 4344,Parque Avellaneda,Comuna 9
"POINT (-58.3937047814704 -34.6237277072939)",1341,Subsede Comunal 3 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,SARANDI,1273,,SARANDI 1273,San Cristobal,Comuna 3
"POINT (-58.3936257447122 -34.588922581605)",1340,Subsede Comunal 2 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"LOPEZ, VICENTE",2050,,"LOPEZ, VICENTE 2050",Recoleta,Comuna 2
"POINT (-58.4963222238925 -34.6013384659779)",1339,Subsede Comunal 11,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"GUTIERREZ, RICARDO",3253,,"GUTIERREZ, RICARDO 3253",Villa Del Parque,Comuna 11
"POINT (-58.5050901227551 -34.659690705259)",1338,Sede de Comuna 9,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"GORDILLO, TIMOTEO",2212,,"GORDILLO, TIMOTEO 2212",Mataderos,Comuna 9
"POINT (-58.4553385709999 -34.6847103855944)",1337,Sede de Comuna 8,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"ROCA, CNEL. AV.",5252,,"ROCA, CNEL. AV. 5252",Villa Riachuelo,Comuna 8
"POINT (-58.4670021929804 -34.6301555653832)",1336,Sede de Comuna 7 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,RIVADAVIA AV.,7202,,RIVADAVIA AV. 7202,Flores,Comuna 7
"POINT (-58.4311977233421 -34.6088110284662)",1335,Sede de Comuna 6 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,DIAZ VELEZ AV.,4558,,DIAZ VELEZ AV. 4558,Caballito,Comuna 6
"POINT (-58.4126589451862 -34.6230513970428)",1334,Sede de Comuna 5 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,CARLOS CALVO,3307,,"CALVO, CARLOS 3307",Boedo,Comuna 5
"POINT (-58.4246528238924 -34.6504766972091)",1333,Sede de Comuna 4,Gobierno,,Proyecto 125,Disponible,Sede Comunal,BARCO CENTENERA del,2906,,BARCO CENTENERA DEL 2906,Nueva Pompeya,Comuna 4
"POINT (-58.3969104940854 -34.6029258037964)",1332,Sede de Comuna 3,Gobierno,,Proyecto 125,Disponible,Sede Comunal,JUNIN,521,,JUNIN 521,Balvanera,Comuna 3
"POINT (-58.398843215301 -34.5966672734247)",1331,Sede de Comuna 2,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"URIBURU JOSE E., Pres.",1022,,"URIBURU JOSE E., PRES. 1022",Recoleta,Comuna 2
"POINT (-58.4412537875197 -34.5869884020329)",1330,Sede de Comuna 15 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,CORDOBA AV.,5690,,CORDOBA AV. 5690,Chacarita,Comuna 15
"POINT (-58.4094356167977 -34.5872362218366)",1329,Sede de Comuna 14 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,BERUTI,3325,,BERUTI 3325,Palermo,Comuna 14
"POINT (-58.4640257642185 -34.5537821362625)",1328,Sede de Comuna 13 RC (2),Gobierno,,Proyecto 125,Disponible,Sede Comunal,CABILDO AV.,3067,,CABILDO AV. 3067,Nuñez,Comuna 13
"POINT (-58.4640257642185 -34.5537821362625)",1327,Sede de Comuna 13 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,CABILDO AV.,3067,,CABILDO AV. 3067,Nuñez,Comuna 13
"POINT (-58.4829174322358 -34.568793102478)",1326,Sede de Comuna 12 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,MILLER,2751,,MILLER 2751,Villa Urquiza,Comuna 12
"POINT (-58.5159950164007 -34.6083646509668)",1325,Sede de Comuna 11 RC,Gobierno,,Proyecto 125,Disponible,Sede Comunal,"BEIRO, FRANCISCO AV.",4629,,"BEIRO, FRANCISCO AV. 4629",Villa Devoto,Comuna 11
"POINT (-58.4834402088205 -34.631782073125)",1324,Sede de Comuna 10,Gobierno,,Proyecto 125,Disponible,Sede Comunal,BACACAY,3952,,BACACAY 3952,Floresta,Comuna 10
"POINT (-58.3693544705291 -34.6206943528891)",1323,Sede de Comuna 1 - Ex Padelai,GOBIERNO,,Proyecto 125,Disponible,Sede Comunal,HUMBERTO 1°,250,,HUMBERTO 1° 250,San Telmo,Comuna 1
"POINT (-58.3920633991447 -34.587741487986)",1322,Cementerio de Recoleta,Espacio Público,,Proyecto 125,Disponible,Espacio Público,Junín,1867,,JUNIN 1867,Recoleta,Comuna 2
"POINT (-58.4189153449358 -34.5792142127002)",1318,Teatro Sarmiento,Cultura,,Proyecto 125,Disponible,Teatros,SARMIENTO AV.,2715,,SARMIENTO AV. 2715,Palermo,Comuna 14
"POINT (-58.5072411180313 -34.5687229996412)",1316,Museo Cornelio Saavedra,Cultura,,Proyecto 125,Disponible,Museos,"LARRALDE, CRISOLOGO AV.",6293,,"LARRALDE, CRISOLOGO AV. 6293",Saavedra,Comuna 12
"POINT (-58.3799281142343 -34.5909015149309)",1315,Museo Fernandez Blanco,Cultura,,Proyecto 125,Disponible,Museos,SUIPACHA,1422,,SUIPACHA 1422,Retiro,Comuna 1
"POINT (-58.4482561688671 -34.6150277981534)",1314,Museo Luis Perlotti,Cultura,,Proyecto 125,Disponible,Museos,PUJOL,642,,PUJOL 642,Caballito,Comuna 6
"POINT (-58.405193457689 -34.5798337766253)",1313,Museo José Hernández,Cultura,,Proyecto 125,Disponible,Museos,DEL LIBERTADOR AV.,2373,,DEL LIBERTADOR AV. 2373,Palermo,Comuna 14
"POINT (-58.3569527157363 -34.6295762750908)",1311,Museo del Cine,Cultura,,Proyecto 125,Disponible,Museos,"CAFFARENA, AGUSTIN R.",49,,"CAFFARENA, AGUSTIN R. 49",Boca,Comuna 4
"POINT (-58.3720756782359 -34.610448696541)",1310,Museo de la Ciudad,Cultura,,Proyecto 125,Disponible,Museos,DEFENSA,219,,DEFENSA 219,Monserrat,Comuna 1
"POINT (-58.3707228298668 -34.6218932751909)",1309,Museo de Arte Moderno (MAMBA),Cultura,,Proyecto 125,Disponible,Museos,SAN JUAN AV.,350,,SAN JUAN AV. 350,San Telmo,Comuna 1
"POINT (-58.4079201424532 -34.6016428199661)",1308,Museo Carlos Gardel,Cultura,,Proyecto 125,Disponible,Museos,"JAURES, JEAN",735,,"JAURES, JEAN 735",Balvanera,Comuna 3
"POINT (-58.4482561688671 -34.6150277981534)",1307,Museo de Esculturas Luis Perlotti,Cultura,,Proyecto 125,Disponible,Museos,PUJOL,642,,PUJOL 642,Caballito,Comuna 6
"POINT (-58.4835681109282 -34.5761766943104)",1305,Teatro 25 de Mayo,Cultura,,Proyecto 125,Disponible,Teatros,TRIUNVIRATO AV.,4444,,TRIUNVIRATO AV. 4444,Villa Urquiza,Comuna 12
"POINT (-58.5209647328291 -34.6463659055867)",1304,Biblioteca Hernández,Cultura,,Proyecto 125,Disponible,Bibliotecas,BOQUERON,6753,,BOQUERON 6753,Liniers,Comuna 9
"POINT (-58.4487213145965 -34.5616012524313)",1303,Biblioteca Reina Batata (Infantil),Cultura,,Proyecto 125,Disponible,Bibliotecas,LA PAMPA,0,11 DE SEPTIEMBRE DE 1888,LA PAMPA y 11 DE SEPTIEMBRE DE 1888,Belgrano,Comuna 13
"POINT (-58.4075573257288 -34.6374599361024)",1301,Biblioteca Enrique Banchs,Cultura,,Proyecto 125,Disponible,Bibliotecas,CASEROS AV.,0,"URQUIZA, Gral.","CASEROS AV. y URQUIZA, GRAL.",Parque Patricios,Comuna 4
"POINT (-58.4364434362011 -34.6481414640518)",1300,Biblioteca Javier Villafañe,Cultura,,Proyecto 125,Disponible,Bibliotecas,"JANER, ANA MARIA",0,"TORRES Y TENORIO, Pres.","JANER, ANA MARIA y TORRES Y TENORIO, PRES.",Flores,Comuna 7
"POINT (-58.4970633560937 -34.6677559900079)",1299,Biblioteca Benito Lynch,Cultura,,Proyecto 125,Disponible,Bibliotecas,YRUPE,6741,,YRUPE 6741,Mataderos,Comuna 9
"POINT (-58.3590382949462 -34.6354224360637)",1298,Biblioteca  Joaquin V Gonzalez,Cultura,,Proyecto 125,Disponible,Bibliotecas,SUAREZ,408,,SUAREZ 408,Boca,Comuna 4
"POINT (-58.4383368931647 -34.6340561219499)",1296,Biblioteca Estanislao del Campo,Cultura,,Proyecto 125,Disponible,Bibliotecas,DE LAS ARTES,1210,,DE LAS ARTES 1210,Parque Chacabuco,Comuna 7
"POINT (-58.5264183919838 -34.6347521675363)",1295,Biblioteca Miguel Cané,Cultura,,Proyecto 125,Disponible,Bibliotecas,"JUSTO, JUAN B. AV.",9668,,"JUSTO, JUAN B. AV. 9668",Liniers,Comuna 9
"POINT (-58.3881375128311 -34.6147190167285)",1294,Biblioteca Alfonsina Storni y Martín Del Barco Centenera,Cultura,,Proyecto 125,Disponible,Bibliotecas,REPUBLICA BOLIVARIANA DE VENEZUELA,1538,,REPUBLICA BOLIVARIANA DE VENEZUELA 1538,Monserrat,Comuna 1
"POINT (-58.3891346330003 -34.599491226542)",1293,Biblioteca Manuel Gálvez,Cultura,,Proyecto 125,Disponible,Bibliotecas,CORDOBA AV.,1558,,CORDOBA AV. 1558,San Nicolas,Comuna 1
"POINT (-58.4616862674174 -34.5649452255431)",1290,Biblioteca José Mármol,Cultura,,Proyecto 125,Disponible,Bibliotecas,JURAMENTO,2937,,JURAMENTO 2937,Belgrano,Comuna 13
"POINT (-58.4749577923524 -34.6768104326257)",1289,Biblioteca El Progreso,Cultura,,Proyecto 125,Disponible,Bibliotecas,RIESTRA AV.,5655,,RIESTRA AV. 5655,Villa Lugano,Comuna 8
"POINT (-58.3914784393026 -34.624605602224)",1288,Biblioteca Del Docente,Cultura,,Proyecto 125,Disponible,Bibliotecas,ENTRE RIOS AV.,1349,,ENTRE RIOS AV. 1349,San Cristobal,Comuna 3
"POINT (-58.4238732709212 -34.5813524825881)",1287,Biblioteca Carlos Guido y Spano,Cultura,,Proyecto 125,Disponible,Bibliotecas,GUEMES,4601,,GUEMES 4601,Palermo,Comuna 14
"POINT (-58.5108943448392 -34.5993148523254)",1286,Biblioteca Antonio Devoto,Cultura,,Proyecto 125,Disponible,Bibliotecas,BAHIA BLANCA,4025,,BAHIA BLANCA 4025,Villa Devoto,Comuna 11
"POINT (-58.4503632008697 -34.5913558455624)",1285,Biblioteca Baldomero Fernández Moreno,Cultura,,Proyecto 125,Disponible,Bibliotecas,"ARENAL, CONCEPCION",4206,,"ARENAL, CONCEPCION 4206",Chacarita,Comuna 15
"POINT (-58.3821441990908 -34.6355542952125)",1277,HOSPITAL C.TOBAR GARCIA,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,DR. RAMON CARRILLO,315,,"CARRILLO, RAMON, DR. 315",Barracas,Comuna 4
"POINT (-58.3818757602047 -34.6365417802164)",1276,HOSPITAL T.BORDA,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,DR. RAMON CARRILLO,375,,"CARRILLO, RAMON, DR. 375",Barracas,Comuna 4
"POINT (-58.3755798287977 -34.6302462723121)",1275,HOSPITAL M.FERRER,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,DR. ENRIQUE FINOCHIETTO,849,,FINOCHIETTO ENRIQUE DR. 849,Barracas,Comuna 4
"POINT (-58.4600880921142 -34.6055973716177)",1273,HOSPITAL PEDRO LAGLEYSE,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,JUAN B. JUSTO,4151,,"JUSTO, JUAN B. AV. 4151",Villa Gral. Mitre,Comuna 11
"POINT (-58.4328773180102 -34.607088234185)",1272,HOSPITAL MARIE CURIE,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,PATRICIAS ARGENTINAS AV.,150,,PATRICIAS ARGENTINAS AV. 150,Caballito,Comuna 6
"POINT (-58.3913584369387 -34.634350530468)",1271,HOSPITAL B. UDAONDO,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,CASEROS,2061,,CASEROS AV. 2061,Parque Patricios,Comuna 4
"POINT (-58.434992192874 -34.6085337392116)",1270,HOSPITAL LUIS PASTEUR,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,DIAZ VELEZ,4821,,DIAZ VELEZ AV. 4821,Caballito,Comuna 6
"POINT (-58.3929971575529 -34.6372222500782)",1269,HOSPITAL MUÑIZ,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,USPALLATA,2272,,USPALLATA 2272,Parque Patricios,Comuna 4
"POINT (-58.4026946692434 -34.5844277590145)",1268,HOSPITAL RAMON CARRILLO,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,SANCHEZ DE BUSTAMANTE,2529,,SANCHEZ DE BUSTAMANTE 2529,Recoleta,Comuna 2
"POINT (-58.3944660060865 -34.6228328424835)",1267,HOSPITAL SANTA LUCIA,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,AV SAN JUAN,2021,,SAN JUAN AV. 2021,San Cristobal,Comuna 3
"POINT (-58.4590247254215 -34.6737584669302)",1266,HOSPITAL CECILIA GRIERSON,Hospitales y Centros de Salud,,Proyecto 125,Disponible,Hospitales,AV. GRAL. FERNANDEZ DE LA CRUZ,4402,,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4402",Villa Lugano,Comuna 8
"POINT (-58.4022558602816 -34.6253304355219)",1265,CESAC Nº 45,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,COCHABAMBA,2622,,COCHABAMBA 2622,San Cristobal,Comuna 3
"POINT (-58.467459400591 -34.660583839361)",1264,CESAC Nº 44,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,SARAZA,4202,,SARAZA 4202,Villa Lugano,Comuna 8
"POINT (-58.466531198788 -34.6777278133414)",1263,CESAC Nº 43,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,Fonrouge,4377,,FONROUGE 4377,Villa Lugano,Comuna 8
"POINT (-58.3578287818444 -34.6313128366299)",1262,CESAC Nº 41,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"BRIN, Ministro",843,,"BRIN, MINISTRO 843",Boca,Comuna 4
"POINT (-58.445473021812 -34.6450900570133)",1261,CESAC Nº 40,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"BONORINO, ESTEBAN, Cnel. AV.",1729,,"BONORINO, ESTEBAN, CNEL. AV. 1729",Flores,Comuna 7
"POINT (-58.409825072463 -34.6310096347237)",1260,CESAC Nº 39,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,24 DE NOVIEMBRE,1679,,24 DE NOVIEMBRE 1679,Parque Patricios,Comuna 4
"POINT (-58.5001656497841 -34.6625599604733)",1259,CESAC Nº 37,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,Lisandro de la Torre,0,Av. De los Corrales,"DE LA TORRE, LISANDRO AV. y DE LOS CORRALES AV.",Mataderos,Comuna 9
"POINT (-58.478147869199 -34.6065389146236)",1257,CESAC Nº 34,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"ARTIGAS, JOSE GERVASIO, GRAL.",2262,,"ARTIGAS, JOSE GERVASIO, GRAL. 2262",Villa Del Parque,Comuna 11
"POINT (-58.441724197515 -34.5864529319586)",1256,CESAC Nº 33,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,CORDOBA AV.,5741,,CORDOBA AV. 5741,Palermo,Comuna 14
"POINT (-58.4050474814826 -34.649796469603)",1253,CESAC Nº 30,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"ALCORTA, AMANCIO AV.",0,IGUAZU,"ALCORTA, AMANCIO AV. y IGUAZU",Nueva Pompeya,Comuna 4
"POINT (-58.4867261316979 -34.6847872309211)",1252,CESAC Nº 29,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"DELLEPIANE, LUIS, TTE. GRAL.",0,"PAZ, GRAL. AV.","DELLEPIANE, LUIS, TTE. GRAL. y PAZ, GRAL. AV.",Villa Lugano,Comuna 8
"POINT (-58.4632403942264 -34.6888704527395)",1251,CESAC Nº 28,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,CAFAYATE,5388,,CAFAYATE 5388,Villa Lugano,Comuna 8
"POINT (-58.4866156740038 -34.5477427134101)",1250,CESAC Nº 27,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,ARIAS,3783,,ARIAS 3783,Saavedra,Comuna 12
"POINT (-58.4257145429811 -34.5871370726218)",1249,CESAC Nº 26,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,GURRUCHAGA,1939,,GURRUCHAGA 1939,Palermo,Comuna 14
"POINT (-58.4559503950996 -34.6583326404398)",1247,CESAC Nº 24,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,Pasaje L,0,Laguna,PASAJE L y LAGUNA,Villa Soldati,Comuna 8
"POINT (-58.4491545891361 -34.592225905953)",1245,CESAC Nº 22,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,GUZMAN,90,,GUZMAN 90,Chacarita,Comuna 15
"POINT (-58.3732771327423 -34.5842106750709)",1244,CESAC Nº 21,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,Av. Gendarmeria Nacional,601,,GENDARMERIA NACIONAL AV. 601,Retiro,Comuna 1
"POINT (-58.4422573378036 -34.6429178035657)",1242,CESAC Nº 19,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,CURAPALIGUE,1901,,CURAPALIGUE 1901,Flores,Comuna 7
"POINT (-58.4679688106035 -34.6736273001173)",1241,CESAC Nº 18,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"BATLLE Y ORDOÑEZ, JOSE",5080,,"BATLLE Y ORDOÑEZ, JOSE P.T. 5080",Villa Lugano,Comuna 8
"POINT (-58.4199467803627 -34.5927265568355)",1240,CESAC Nº 17,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,EL SALVADOR,4037,,EL SALVADOR 4037,Palermo,Comuna 14
"POINT (-58.3801210059809 -34.6485245600106)",1239,CESAC Nº 16,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,CALIFORNIA,2346,,CALIFORNIA 2346,Barracas,Comuna 4
"POINT (-58.474216369751 -34.6600748671364)",1237,CESAC Nº 14,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,"CASCO, HORACIO, Dr.",4446,,"CASCO, HORACIO, DR. 4446",Parque Avellaneda,Comuna 9
"POINT (-58.4742856116622 -34.5698179518119)",1236,CESAC Nº 12,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,OLAZABAL AV.,3960,,OLAZABAL AV. 3960,Villa Urquiza,Comuna 12
"POINT (-58.4105671138291 -34.5990220777975)",1235,CESAC Nº 11,Hospitales y Centros de Salud,,Proyecto 125,Disponible,CeSAC,AGUERO,940,,AGUERO 940,Balvanera,Comuna 3
