barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
0,2014-07-31,37,245822.27027027027,1.0,4.0,70000.0,1200000.0,249421.91416182168
0,2014-08-31,47,269677.58021276596,2.0,7.0,70000.0,1500000.0,318631.8899640429
0,2014-09-30,62,286945.96774193546,4.0,12.0,50000.0,1200000.0,271109.8991211998
0,2014-10-31,34,264371.73882352945,1.0,4.0,50000.0,1700000.0,293474.18126605457
0,2014-11-30,98,334166.7886734694,4.0,22.0,58000.0,1380000.0,303975.12263510114
0,2014-12-31,37,347494.5945945946,1.0,9.0,72000.0,1200000.0,265479.49276936834
0,2015-01-31,59,470983.33,0.0,13.0,79000.0,4000000.0,724860.4084753564
0,2015-02-28,106,230653.81047169812,3.0,9.0,68000.0,980000.0,199971.5777758949
0,2015-03-31,102,365474.50980392157,1.0,21.0,65000.0,1900000.0,369068.2782322019
0,2015-04-30,475,355772.1630105263,17.0,97.0,45000.0,3500000.0,420871.519945097
0,2015-05-31,182,357539.967032967,5.0,41.0,65000.0,3500000.0,451322.92848378664
0,2015-06-30,234,413205.3815384615,7.0,35.0,65000.0,8000000.0,1000909.85677001
0,2015-07-31,401,429490.7157107232,9.0,77.0,69000.0,8000000.0,796671.3136884866
0,2015-08-31,262,356248.7367557252,8.0,42.0,20425.41,3500000.0,499058.169243505
0,2015-09-30,303,333551.74917491747,0.0,51.0,82000.0,1650000.0,315984.00558363483
0,2015-10-31,392,444819.45336734696,2.0,107.0,15406.36,3100000.0,466145.13544110034
0,2015-11-30,248,382628.62903225806,2.0,49.0,55000.0,3000000.0,424148.8354365262
0,2015-12-31,210,268725.24647619046,3.0,24.0,68000.0,1000000.0,199922.9573018077
0,2016-01-31,206,293395.9029126214,4.0,31.0,72000.0,1600000.0,278276.9990305944
0,2016-02-29,244,482805.6354508197,4.0,73.0,21237.05,2850000.0,510211.1928270879
0,2016-03-31,364,332438.34065934067,12.0,70.0,51900.0,2600000.0,357250.55768291553
0,2016-04-30,231,315298.06030303036,4.0,32.0,65000.0,3200000.0,358336.9021916048
0,2016-05-31,218,277091.52440366975,4.0,23.0,21034.51,2600000.0,288339.21718591254
