barrio,count,mean,count 10th percentile,count 90th percentile,min,max,std
0,22594,391356.8690001774,446.0,4697.0,5354.16,15692300.0,539280.606697019
1,10580,363250.78032041603,222.0,1991.0,6078.54,5500000.0,465556.598865682
2,4296,299767.1859939479,94.0,472.0,4851.34,6000000.0,413674.7513979584
3,1470,253757.3166870748,83.0,125.0,46817.0,6500000.0,433544.7479999852
4,9551,161716.58551879384,1727.0,260.0,6985.6,5000000.0,205693.82665744447
5,3250,140052.33683999995,1033.0,101.0,2754.18,2500000.0,176390.03094985854
6,8550,186775.88759298238,572.0,407.0,5103.61,2200000.0,184239.8605426319
7,1658,166722.541429433,313.0,53.0,5166.42,2809708.0,158750.98187918396
8,1938,148323.63291537666,328.0,36.0,5480.14,2500000.0,144340.9639700158
9,2343,177497.13433632074,211.0,46.0,5066.03,1300000.0,121062.66203596303
10,1181,172655.81210838276,162.0,45.0,15000.0,2500000.0,176740.88309993144
11,10114,193117.77718706758,805.0,351.0,5179.85,4400000.0,158796.70927765206
12,8691,162127.81408238402,1421.0,254.0,5480.45,10625000.0,229379.67584622954
14,6889,196006.4914617508,213.0,307.0,19404.95,7403868.0,213565.15974542437
15,3898,190572.09103386351,154.0,139.0,10771.31,3300000.0,165638.52798325173
16,1229,184401.0762896664,91.0,37.0,6169.2,1800000.0,157260.50588590614
17,1686,178575.24781138805,178.0,49.0,12446.09,4000000.0,259995.59058201298
18,2374,183992.4254970514,308.0,47.0,19060.82,11111111.0,415564.6124547221
19,7779,168667.6648978017,956.0,273.0,5043.3,2222222.0,148908.65399505763
20,429,222930.19319347318,10.0,18.0,58000.0,4000000.0,225863.98395434316
21,2695,148915.53804823747,486.0,43.0,5045.54,900000.0,98592.31871662055
22,1296,169377.62378858024,171.0,29.0,11338.22,1600000.0,125878.14370732842
23,2365,243884.30069344607,116.0,203.0,19900.0,2070000.0,209782.3740017752
24,2157,161007.24656467303,475.0,65.0,8188.71,8000000.0,379419.59048069397
25,477,181181.26012578615,65.0,16.0,11050.08,540000.0,118885.29958472725
26,2213,183472.73705377322,154.0,75.0,5024.34,5000000.0,209388.12029857788
27,764,176396.06963350784,59.0,25.0,44000.0,1900000.0,155766.42912917948
28,2791,246572.82393049088,52.0,233.0,5760.71,4300000.0,208687.50700440066
29,1908,185947.08618448634,107.0,61.0,5118.51,1300000.0,130163.75142884391
30,1017,130959.1854768928,304.0,4.0,6617.87,825000.0,85341.29791124347
31,1322,164165.12291225416,188.0,35.0,5995.2,2400000.0,145525.60990596467
32,2410,232280.71263070535,189.0,102.0,4977.43,13500000.0,498402.05859788536
33,1210,159155.87925619833,212.0,39.0,5000.0,850000.0,122782.8896874402
34,181,154355.80110497237,10.0,0.0,40000.0,375000.0,79999.46341517412
35,3915,453322.05316219677,284.0,1157.0,6000.0,6000000.0,495119.0135090467
36,4143,175499.3503789524,525.0,185.0,5103.61,7200000.0,261041.3443581719
37,144,330166.8141666667,73.0,4.0,29530.77,8500000.0,1387403.9172283257
38,2417,149633.98678527106,778.0,68.0,5500.73,4000000.0,286257.6815700596
39,3835,159874.05269621898,1879.0,354.0,2827.18,6809000.0,326213.4991630918
40,1377,168275.20254175746,248.0,44.0,6636.58,1500000.0,153941.14240233655
41,3375,245325.86323259232,395.0,129.0,7300.23,46545445.0,1804871.0405184943
42,1815,191045.70885950414,67.0,61.0,34754.85,1300000.0,135829.0883647027
43,6747,237482.76960575048,1092.0,561.0,8470.98,18500000.0,528173.0815062808
44,13342,358740.45392145094,463.0,2642.0,5000.0,5500000.0,349909.2290720964
45,336,178960.11904761905,23.0,0.0,50000.0,455000.0,83156.69161279681
46,748,162854.65786096253,211.0,21.0,5348.37,2300000.0,222298.18559116247
47,988,158186.30389676112,84.0,14.0,20000.0,6500000.0,301572.9221183954
48,3202,939218.6169456589,10.0,2209.0,48500.0,4600000.0,686779.0320221834
