barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
0,2014-07-31,3,1614.37,0.0,0.0,1500.0,1743.11,122.190387101441
0,2014-08-31,18,2248.242222222223,0.0,2.0,431.37,11000.0,3226.363649230682
0,2014-09-30,33,2912.5924242424235,0.0,7.0,479.36,10995.17,3020.857768785455
0,2014-10-31,22,1629.619090909091,0.0,0.0,504.67,2767.13,933.460158360684
0,2014-11-30,56,2065.2842857142864,0.0,0.0,588.3,4762.47,1332.6390768203416
0,2014-12-31,19,4626.259999999999,0.0,5.0,413.5,15257.37,6111.902639575049
0,2015-01-31,52,1764.604230769231,0.0,4.0,435.78,6313.39,1494.1780375823741
0,2015-02-28,51,1891.4292156862741,0.0,1.0,399.64,5000.0,1352.4387990483608
0,2015-03-31,46,2883.633260869565,1.0,11.0,375.07,6313.39,1947.774476486838
0,2015-04-30,164,2446.787378048779,8.0,20.0,282.75,6500.0,1651.6756478502891
0,2015-05-31,42,3506.053571428572,0.0,11.0,759.3,10000.0,2820.7039399332975
0,2015-06-30,63,4002.9701587301597,3.0,26.0,267.16,10000.0,3110.6060726708984
0,2015-07-31,256,1826.170625,22.0,7.0,333.95,6000.0,1326.9685750652075
0,2015-08-31,25,1301.3532000000005,2.0,0.0,224.85,1864.95,595.9830633410091
0,2015-09-30,83,3601.509397590362,0.0,18.0,383.94,13000.0,3302.7900733516376
0,2015-10-31,195,3155.5030769230793,14.0,42.0,294.97,11000.0,2978.011439408556
0,2015-11-30,119,2422.6242857142856,0.0,3.0,461.34,9000.0,1609.9438027083227
0,2015-12-31,107,2131.9347663551393,8.0,12.0,358.37,6800.0,2085.2949938844436
0,2016-01-31,121,2288.0480991735544,11.0,14.0,279.53,8900.0,2269.875833544761
0,2016-02-29,77,2336.3509090909083,0.0,12.0,477.83,7379.58,2041.588523899042
0,2016-03-31,137,2385.13496350365,5.0,9.0,298.68,5500.0,1315.1447006268727
0,2016-04-30,192,1722.3798958333336,1.0,6.0,368.45,12000.0,1757.946532366875
0,2016-05-31,100,2291.6758999999993,0.0,7.0,399.62,8000.0,1789.2661188890354
0,2016-06-30,152,2564.1669736842105,1.0,18.0,362.39,22000.0,2424.402475491284
0,2016-07-31,142,2941.9887323943663,0.0,39.0,388.72,11898.42,3152.7762142755914
0,2016-08-31,173,2184.942138728324,0.0,14.0,378.21,7414.73,1932.4966706561597
0,2016-09-30,208,2072.755288461537,8.0,18.0,300.99,9500.0,2069.9321718061624
0,2016-10-31,212,1920.92108490566,10.0,4.0,162.5,6500.04,1463.278842161918
0,2016-11-30,314,3176.7701273885355,9.0,52.0,346.44,13000.0,2855.4644918976255
0,2016-12-31,626,4745.546182108628,1.0,198.0,321.22,12500.0,3738.1694304731736
0,2017-01-31,267,2289.8148314606747,0.0,26.0,427.33,9000.0,1758.3536676398494
0,2017-02-28,344,2460.3877906976745,18.0,48.0,280.41,11000.0,2410.6195274809866
0,2017-03-31,471,2327.7686199575346,25.0,47.0,310.9,20000.0,2965.202840831448
0,2017-04-30,531,2101.877495291901,40.0,41.0,103.75,30000.0,2718.5415046693947
0,2017-05-31,664,2145.414352409639,17.0,35.0,291.66,94000.0,6360.507926379246
0,2017-06-30,535,2128.3470654205585,30.0,44.0,250.49,15000.0,2423.8170402528363
0,2017-07-31,911,2864.4837541163533,34.0,125.0,280.41,25000.0,3883.8325238813854
0,2017-08-31,545,2551.986770642202,22.0,64.0,203.76,25000.0,3543.9285668018674
0,2017-09-30,908,2864.4192180616737,26.0,99.0,277.24,36803.9,4425.530625541242
0,2017-10-31,1031,1994.3304364694484,39.0,81.0,158.07,19000.0,2351.2621834427296
0,2017-11-30,767,2072.4517079530656,13.0,76.0,327.4,20000.0,2734.7088629142313
0,2017-12-31,473,2070.07661733615,10.0,37.0,280.18,28000.0,3106.249382839958
0,2018-01-31,398,1560.605351758792,17.0,21.0,51.09,16811.0,2075.9713307048733
0,2018-02-28,18,1870.8966666666665,3.0,1.0,203.76,15282.73,3474.9860312034093
1,2014-07-31,1,1260.95,0.0,0.0,1260.95,1260.95,
1,2014-08-31,2,1649.27,0.0,0.0,1649.27,1649.27,0.0
1,2014-09-30,3,7373.05,0.0,3.0,7373.05,7373.05,0.0
1,2014-10-31,7,8281.471428571429,0.0,3.0,2174.29,14827.36,6200.725955161563
1,2014-11-30,9,1205.0655555555559,0.0,0.0,477.94,3268.33,1172.5909978985758
1,2014-12-31,24,6524.765833333335,0.0,17.0,448.12,9000.0,2755.676511927803
1,2015-01-31,29,3783.27275862069,0.0,7.0,461.79,8500.0,2950.215766415468
1,2015-02-28,33,2966.1590909090905,7.0,6.0,193.86,7891.74,2749.63324568178
1,2015-03-31,37,2991.8129729729726,7.0,7.0,199.09,5500.0,1871.8249612623517
1,2015-04-30,101,2797.018712871287,10.0,24.0,371.54,9500.0,2952.710968890678
