id,Barrio,Text,Notes,Football Team
0,PALERMO,"A trendy area, jam-packed with shops, restaurants and bars that are ideal for today’s jetsetters.",,
1,BELGRANO,"It’s near Rio de la Plata with access to football clubs, tennis and recreation areas. It’s one of the oldest neighborhoods in Buenos Aires, with charming boutiques, fruit stands, restaurants and bars. Owing to its affluence, Belgrano is also popular for shopping. Avenida Cabildo runs the entire width of the barrio and is lined with a huge quantity of clothing and shoe shops ranging from chain stores to independent boutiques.","Affluent, Popular",
2,NUÑEZ,"Nuñez is a relaxed residential neighborhood popular with families with young children and professional couples. Boasting a good mix of contemporary apartment blocks, commercial streets and residential homes, Nuñez bears a similar resemblance to the northern suburbs.",Good transport system,
3,VILLA ORTUZAR,"Villa Ortúzar is a neighborhood with an industrial past, with low houses and few businesses. These are mainly concentrated in their avenues. Along Av. Triunvirato there are many shops dedicated to cars and mechanical workshops. On Av. Álvarez Thomas a culinary hotspot has been formed with more than a dozen restaurants, grills and food houses. Villa Ortúzar has one of the smallest populations within the City of Buenos Aires and is not well known.",,
4,BALVANERA,"In addition to offering a plethora of hotels, hostels and residential accommodation, the barrio has excellent transport links thus within easy reach of the city’s coveted attractions and nightlife hotspots of Palermo and San Telmo. Balvanera offers a fusion of working class areas (some noticeably a little rough around the edges), bohemian lifestyle and entertainment.",,
5,SAN CRISTOBAL,"These days, San Cristóbal is a barrio that, like parts of neighboring Balvanera, goes about its business with little fuss and is characterized by trade and industry.",,
6,VILLA CRESPO,"Villa Crespo was also sometimes referred to as Palermo Queens around 2007. Palermo is considered a more expensive neighborhood and renaming Villa Crespo as part of Palermo would allow people to charge higher rents, etc. Villa Crespo has been informally associated with Buenos Aires’ Jewish community, with several synagogues located in the barrio. Recently Villa Crespo has started to attract a younger crowd of artistic types, who have given the barrio a distinctly cool edge.",,
7,VILLA GENERAL MITRE,"Villa General Mitre is mainly a residential neighborhood, with wide and quiet streets, some of which are still paved with cobblestones. Avenida Juan B. Justo passes through the center of the neighborhood. Facing the Avenida is the Plaza Sáenz Peña, known for its monument to Norberto Napolitano, a rock singer and resident of the neighborhood.",,
8,FLORESTA,"Floresta is one of the neighborhoods that best preserves both its rich history the traditional appearance of its historical districts. Buenos Aires's radio began in Floresta and there have been many important radio stations located here since.",,
9,PARQUE CHACABUCO,"As it is less popular with tourists and expats, you’ll certainly be able to find some cheaper rents in Parque Chacabuco. Be prepared, however, for a working class neighborhood and nothing like the more Europeanized areas of Palermo.",,
