id,Commune,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,Owner Percent,Owner Quantile,Regular Percent,Regular Quantile,Uninhabited Percent,Uninhabited Quantile,b_id
31188,13,73.4,5,88.8,6,25.2,3,7.2,1,48.0,7,63.7,6,88.8,5,6.6,8,26.0
31242,13,78.4,7,87.4,5,29.0,5,6.7,1,42.1,6,59.9,5,88.8,5,1.6,2,26.0
31258,13,80.1,8,93.7,9,19.5,1,5.0,0,46.1,7,73.8,9,93.2,9,2.5,3,26.0
31261,15,78.2,7,89.4,7,29.8,5,5.9,0,47.6,7,60.2,5,90.0,6,3.8,5,26.0
31270,13,76.2,7,87.5,5,24.9,3,6.9,1,46.7,7,63.0,6,87.9,4,2.0,2,26.0
31278,13,80.2,8,90.0,7,21.9,2,5.2,0,44.9,6,70.5,8,92.4,8,1.2,1,26.0
31281,13,89.0,9,94.8,9,26.7,4,8.2,2,52.0,8,57.7,4,84.4,2,1.8,2,26.0
31300,13,75.8,7,88.2,6,29.0,5,8.7,3,42.5,6,63.7,6,92.7,8,5.1,7,26.0
31326,13,69.0,4,92.0,9,32.5,6,9.9,4,43.0,6,53.3,3,85.8,3,3.2,4,26.0
31329,15,64.7,2,82.1,0,26.8,4,9.1,3,31.8,4,60.6,5,87.4,4,2.8,4,26.0
31334,15,75.6,6,90.5,8,31.3,6,6.3,0,48.0,7,57.5,4,88.8,5,5.2,7,26.0
31340,13,70.5,4,87.9,5,32.8,6,8.8,3,44.4,6,58.4,5,91.2,7,0.9,1,26.0
31341,13,73.4,5,84.3,1,24.4,3,11.1,5,37.6,5,63.7,6,88.1,5,2.2,3,26.0
31342,15,73.6,6,88.3,6,29.9,5,6.5,1,39.9,5,56.9,4,86.8,4,1.0,1,26.0
31355,15,78.4,7,88.2,6,25.2,3,11.7,5,42.1,6,62.5,6,87.7,4,3.8,5,26.0
31390,15,75.4,6,90.9,8,25.4,3,6.5,1,45.6,7,59.4,5,84.8,3,2.4,3,26.0
31411,15,70.8,4,89.8,7,40.3,8,10.2,4,41.4,6,52.8,3,93.1,9,1.1,1,26.0
31430,15,76.4,7,90.6,8,28.3,4,17.1,8,35.4,5,55.9,4,84.2,2,3.5,5,26.0
31437,15,71.9,5,88.1,5,38.6,8,9.2,3,46.8,7,48.0,2,86.6,4,4.3,6,26.0
31453,15,70.3,4,92.6,9,40.6,8,17.9,8,39.8,5,47.7,2,88.3,5,4.4,6,26.0
31479,15,69.7,4,84.6,2,35.0,7,9.8,4,33.3,4,52.2,3,87.2,4,3.0,4,26.0
31496,15,63.6,2,88.0,5,35.1,7,9.4,4,33.3,4,48.7,2,83.8,2,0.7000000000000001,0,26.0
31516,15,70.0,4,88.2,6,33.0,6,14.1,7,32.1,4,45.1,1,78.1,0,4.5,6,26.0
31528,15,61.7,2,84.3,1,37.3,7,10.5,5,30.6,3,45.4,1,82.7,2,1.7000000000000002,2,26.0
31543,15,65.4,2,86.7,4,44.5,9,13.6,7,26.4,2,42.2,1,86.7,4,3.3,5,26.0
31545,14,76.8,7,88.5,6,35.9,7,15.3,7,46.5,7,54.6,3,90.5,7,9.2,9,26.0
31546,15,86.6,9,93.6,9,24.9,3,5.9,0,53.9,8,63.1,6,88.0,4,3.2,4,26.0
31553,15,43.1,0,89.5,7,29.2,5,55.6,9,10.3,0,29.2,0,58.3,0,2.3,3,26.0
31577,15,71.9,5,85.4,2,22.5,2,10.7,5,40.7,6,68.0,8,90.5,7,1.6,2,26.0
31592,15,71.6,5,86.8,4,37.0,7,9.3,3,32.9,4,49.8,2,86.8,4,4.0,6,26.0
31604,15,74.7,6,88.5,6,29.9,5,7.9,2,38.5,5,61.8,6,91.8,8,2.1,2,26.0
31613,14,67.7,3,87.6,5,38.8,8,18.9,8,34.9,4,48.0,2,86.8,4,8.6,9,26.0
31637,15,73.7,6,86.4,3,19.5,1,11.7,5,30.9,3,64.9,7,84.4,2,2.1,2,26.0
31643,15,72.2,5,87.9,5,35.8,7,10.1,4,37.4,5,50.9,2,86.7,4,4.5,6,26.0
31668,15,62.7,2,85.7,3,35.0,7,23.9,9,19.9,1,53.8,3,88.9,5,1.9,2,26.0
31676,15,75.5,6,87.3,4,24.5,3,12.2,6,37.9,5,48.2,2,72.7,0,9.7,9,26.0
31682,15,78.0,7,91.4,8,25.9,3,8.9,3,35.7,5,63.4,6,89.3,6,2.6,3,26.0
