id,AREA,Commune,DEPTO,FRAC,Computer Percent,Computer Quantile,Cellular Percent,Cellular Quantile,Rent Percent,Rent Quantile,LINK,Immigration Percent,Immigration Quantile,Education Percent,Education Quantile,PERIMETER,Owner Percent,Owner Quantile,PROV,RADIO,RADPAIS_,REDCODE,Regular Percent,Regular Quantile,TIPO,Uninhabited Percent,Uninhabited Quantile,coordinates,type
32794,17608.88,1,1.0,9.0,75.0,6,91.3,8,62.2,9,,18.4,8,49.3,7,530.211,27.8,0,2.0,7.0,32794.0,20010907.0,89.9,6,,11.8,9,"[[[-58.37828, -34.598910000000004], [-58.37826, -34.59911], [-58.37822, -34.59989], [-58.37821, -34.60008], [-58.37833, -34.60009], [-58.37967, -34.60013], [-58.37973, -34.59916], [-58.37974, -34.59897], [-58.37828, -34.598910000000004]]]",Polygon
32795,14524.75,5,5.0,2.0,87.5,9,95.4,9,31.2,5,,11.3,5,56.6,8,488.97,55.2,4,2.0,8.0,32795.0,20050208.0,86.4,3,,4.6,6,"[[[-58.41259, -34.60161], [-58.4128, -34.60251], [-58.41403, -34.60217], [-58.41418, -34.60213], [-58.41401, -34.60124], [-58.41398, -34.60113], [-58.41259, -34.60161]]]",Polygon
32811,79536.88,11,11.0,7.0,75.2,6,89.0,6,13.4,0,,6.9,1,34.9,4,1135.801,80.3,9,2.0,6.0,32811.0,20110706.0,93.8,9,,4.2,6,"[[[-58.50666, -34.60705], [-58.50598, -34.60781], [-58.50529, -34.60856], [-58.50462, -34.60931], [-58.50476, -34.6094], [-58.50574, -34.61002], [-58.50591, -34.61013], [-58.50606, -34.61022], [-58.50664, -34.61059], [-58.5068, -34.61068], [-58.50715, -34.6103], [-58.50748, -34.6099], [-58.50759, -34.60978], [-58.50816, -34.60911], [-58.50882, -34.60834], [-58.50864, -34.60823], [-58.50813, -34.60793], [-58.50795, -34.60782], [-58.50778, -34.60772], [-58.50666, -34.60705]]]",Polygon
32927,63006.06,11,11.0,7.0,72.3,5,85.2,2,15.4,0,,6.5,1,29.1,3,1147.495,69.8,8,2.0,4.0,32927.0,20110704.0,85.2,3,,2.2,3,"[[[-58.51028, -34.60923], [-58.51005, -34.60958], [-58.50971, -34.61008], [-58.50943, -34.61049], [-58.50916, -34.6109], [-58.50881, -34.61128], [-58.50847, -34.61166], [-58.50815, -34.61201], [-58.50796, -34.61223], [-58.50783, -34.61236], [-58.5083, -34.61265], [-58.50865, -34.61285], [-58.50911, -34.61312], [-58.50921, -34.61303], [-58.50944, -34.61277], [-58.50975, -34.61242], [-58.51001, -34.61213], [-58.51009, -34.61204], [-58.51043, -34.61165], [-58.51069, -34.61137], [-58.51076, -34.61129], [-58.51108, -34.61093], [-58.51141, -34.61056], [-58.51149, -34.61047], [-58.51178, -34.61015], [-58.51095, -34.60964], [-58.51028, -34.60923]]]",Polygon
34174,136837.4,10,10.0,4.0,71.9,5,87.5,5,20.5,1,,6.6,1,32.1,4,1460.89,73.3,9,2.0,4.0,34174.0,20100404.0,93.8,9,,2.7,3,"[[[-58.5201, -34.62907], [-58.52006, -34.62917], [-58.51964, -34.63053], [-58.51928, -34.63169], [-58.52024, -34.6328], [-58.52034, -34.63291], [-58.52038, -34.63297], [-58.52052, -34.63301], [-58.52075, -34.63322], [-58.52159, -34.63292], [-58.52228, -34.63257], [-58.52237, -34.63251], [-58.52247, -34.63245], [-58.52254, -34.6324], [-58.52262, -34.63234], [-58.52267, -34.63231], [-58.52272, -34.63227], [-58.5228, -34.63221], [-58.52285, -34.63216], [-58.52299, -34.63204], [-58.52303, -34.63201], [-58.52314, -34.63191], [-58.52321, -34.63183], [-58.52342, -34.63159], [-58.52351, -34.63149], [-58.52359, -34.63135], [-58.5237, -34.63138], [-58.52386, -34.63141], [-58.52432, -34.62995], [-58.52418, -34.62993], [-58.52388, -34.62987], [-58.52372, -34.62983], [-58.52251, -34.62958], [-58.52148, -34.62936], [-58.5213, -34.62932], [-58.52111, -34.62928], [-58.5201, -34.62907]]]",Polygon
34175,18284.44,7,7.0,7.0,47.7,0,79.1,0,47.0,9,,17.1,8,26.6,2,541.02,46.0,1,2.0,5.0,34175.0,20070705.0,93.0,8,,0.0,0,"[[[-58.46566, -34.6257], [-58.46524, -34.62668], [-58.46517, -34.62683], [-58.46532, -34.62687], [-58.46658, -34.627250000000004], [-58.46707, -34.62615], [-58.46566, -34.6257]]]",Polygon
34179,96592.56,10,10.0,8.0,74.5,6,87.7,5,22.4,2,,7.3,1,24.7,2,1538.484,66.0,7,2.0,7.0,34179.0,20100807.0,88.4,5,,1.2,1,"[[[-58.50536, -34.62902], [-58.50431, -34.62978], [-58.50442, -34.62989], [-58.50517, -34.63056], [-58.50527, -34.63065], [-58.50559, -34.63095], [-58.50604, -34.63136], [-58.50616, -34.63146], [-58.50598, -34.6316], [-58.50501, -34.63231], [-58.50594, -34.63317], [-58.50699, -34.63238], [-58.50709, -34.6323], [-58.50813, -34.63153], [-58.50803, -34.63143], [-58.50719, -34.63069], [-58.50731, -34.63059], [-58.50813, -34.62998], [-58.50802, -34.62987], [-58.50724, -34.62917], [-58.5063, -34.62832], [-58.50536, -34.62902]]]",Polygon
30082,28294.13,13,13.0,2.0,81.0,8,87.0,4,29.7,5,,6.0,0,45.5,7,773.114,67.0,7,2.0,7.0,30082.0,20130207.0,96.7,9,,3.0,4,"[[[-58.46312, -34.54327], [-58.46259, -34.54398], [-58.46353, -34.54446], [-58.463, -34.54517], [-58.46385, -34.5456], [-58.46398, -34.54566], [-58.4642, -34.54578], [-58.46437, -34.5454], [-58.46453, -34.54505], [-58.46456, -34.54498], [-58.46459, -34.5449], [-58.46465, -34.54476], [-58.46438, -34.54391], [-58.46406, -34.54375], [-58.46393, -34.54368], [-58.46312, -34.54327]]]",Polygon
34182,44069.88,5,5.0,18.0,67.5,3,86.8,4,33.9,6,,9.1,3,36.3,5,851.064,58.1,4,2.0,2.0,34182.0,20051802.0,91.9,8,,6.6,8,"[[[-58.42485, -34.623310000000004], [-58.42455, -34.62479], [-58.42452, -34.62496], [-58.42598, -34.62505], [-58.42718, -34.62513], [-58.42724, -34.62485], [-58.42746, -34.62375], [-58.42749, -34.62361], [-58.42629, -34.62347], [-58.42485, -34.623310000000004]]]",Polygon
34184,33980.25,7,7.0,6.0,63.6,2,84.7,2,33.3,6,,9.1,3,28.2,3,975.705,46.6,2,2.0,6.0,34184.0,20070606.0,79.9,1,,1.4,1,"[[[-58.46081, -34.62622], [-58.46074, -34.62635], [-58.46196, -34.62671], [-58.46339, -34.62711], [-58.46485, -34.62755], [-58.46489, -34.62746], [-58.46491, -34.62742], [-58.46517, -34.62683], [-58.46384, -34.62644], [-58.4637, -34.62641], [-58.46227, -34.62601], [-58.46217, -34.62597], [-58.46111, -34.62561], [-58.46081, -34.62622]]]",Polygon
34186,48342.44,6,6.0,14.0,81.2,8,89.9,7,23.3,2,,8.5,3,52.7,8,966.481,58.5,5,2.0,6.0,34186.0,20061406.0,81.8,1,,4.9,7,"[[[-58.44653, -34.62472], [-58.44614, -34.62564], [-58.44604, -34.62588], [-58.44532, -34.62559], [-58.44495, -34.62708], [-58.44549, -34.62718], [-58.44665, -34.62739], [-58.44703, -34.62748], [-58.44737, -34.62662], [-58.44748, -34.62638], [-58.44788, -34.62539], [-58.44744, -34.62517], [-58.44653, -34.62472]]]",Polygon
30089,48739.81,13,13.0,2.0,66.2,3,87.7,5,39.8,8,,12.7,6,40.4,6,1005.448,52.5,3,2.0,1.0,30089.0,20130201.0,92.3,8,,6.1,8,"[[[-58.4703, -34.54398], [-58.46978, -34.54468], [-58.46921, -34.54547], [-58.46873, -34.54611], [-58.4682, -34.54682], [-58.4694, -34.54741], [-58.46994, -34.54672], [-58.47043, -34.54607], [-58.47101, -34.54528], [-58.47154, -34.54457], [-58.4703, -34.54398]]]",Polygon
34189,68230.5,10,10.0,4.0,73.5,5,87.2,4,8.1,0,,5.5,0,33.3,4,1058.452,85.0,9,2.0,6.0,34189.0,20100406.0,93.2,9,,2.0,2,"[[[-58.51404, -34.63026], [-58.51415, -34.63036], [-58.51465, -34.63081], [-58.51509, -34.63121], [-58.51541, -34.63149], [-58.51618, -34.63218], [-58.51722, -34.63137], [-58.51774, -34.63096], [-58.51812, -34.63067], [-58.51829, -34.63054], [-58.51734, -34.63], [-58.51721, -34.62993], [-58.5164, -34.62947], [-58.51623, -34.62937], [-58.51564, -34.62902], [-58.51525, -34.62933], [-58.51512, -34.62942], [-58.5149, -34.62959], [-58.51404, -34.63026]]]",Polygon
34190,32956.0,3,3.0,26.0,64.3,2,86.4,3,42.7,8,,7.8,2,30.5,3,757.527,48.7,2,2.0,1.0,34190.0,20032601.0,91.5,7,,5.0,7,"[[[-58.41059, -34.6227], [-58.40921, -34.62243], [-58.4091, -34.62241], [-58.4091, -34.62253], [-58.40899, -34.6235], [-58.40894, -34.62394], [-58.40887, -34.6246], [-58.40917, -34.62463], [-58.40972, -34.6247], [-58.40985, -34.62471], [-58.41036, -34.62477], [-58.41044, -34.62398], [-58.41046, -34.62374], [-58.41054, -34.62293], [-58.41059, -34.6227]]]",Polygon
32928,16952.5,3,3.0,6.0,69.1,4,84.0,1,42.9,8,,14.3,7,47.1,7,523.516,34.9,0,2.0,2.0,32928.0,20030602.0,77.7,0,,4.5,6,"[[[-58.39553, -34.60216], [-58.39544, -34.60312], [-58.39542, -34.60326], [-58.3956, -34.60327], [-58.3968, -34.60328], [-58.39693, -34.60328], [-58.39693, -34.60319], [-58.39702, -34.60219], [-58.39566, -34.60217], [-58.39553, -34.60216]]]",Polygon
34193,45862.75,6,6.0,21.0,70.0,4,91.0,8,35.8,7,,13.2,6,39.3,5,879.967,54.9,4,2.0,7.0,34193.0,20062107.0,90.7,7,,2.7,3,"[[[-58.42749, -34.62361], [-58.42746, -34.62375], [-58.42724, -34.62485], [-58.42718, -34.62513], [-58.42858, -34.625280000000004], [-58.43008, -34.62543], [-58.43026, -34.62469], [-58.43038, -34.62414], [-58.43041, -34.62398], [-58.42889, -34.62378], [-58.4277, -34.62363], [-58.42749, -34.62361]]]",Polygon
34194,44822.0,10,10.0,11.0,57.0,1,79.7,0,37.1,7,,33.1,9,21.7,1,913.569,50.6,2,2.0,11.0,34194.0,20101111.0,87.6,4,,2.4,3,"[[[-58.47929, -34.62706], [-58.47912, -34.62702], [-58.47819, -34.62678], [-58.47813, -34.62691], [-58.47763, -34.62799], [-58.47874, -34.62827], [-58.47982, -34.62853], [-58.4806, -34.62873], [-58.48089, -34.6288], [-58.48129, -34.62794], [-58.48143, -34.62761], [-58.48053, -34.62739], [-58.48037, -34.62735], [-58.47929, -34.62706]]]",Polygon
34195,55239.38,7,7.0,1.0,54.1,1,83.5,1,40.6,8,,37.5,9,19.9,1,1155.704,47.0,2,2.0,6.0,34195.0,20070106.0,87.6,4,,2.8,4,"[[[-58.47157, -34.62637], [-58.47145, -34.62666], [-58.4711, -34.62743], [-58.47142, -34.62753], [-58.47252, -34.62788], [-58.47267, -34.62791], [-58.47222, -34.62886], [-58.47197, -34.6294], [-58.47315, -34.62977], [-58.4733, -34.62945], [-58.47343, -34.62917], [-58.47387, -34.62822], [-58.47434, -34.62716], [-58.47316, -34.62685], [-58.47296, -34.6268], [-58.47157, -34.62637]]]",Polygon
34196,23940.38,6,6.0,13.0,74.5,6,87.7,5,23.5,2,,7.6,2,47.2,7,647.816,69.2,8,2.0,3.0,34196.0,20061303.0,92.7,8,,5.2,7,"[[[-58.44949, -34.62502], [-58.44911, -34.626], [-58.44935, -34.62611], [-58.45005, -34.62647], [-58.45097, -34.62694], [-58.45107, -34.62672], [-58.45147, -34.6259], [-58.4497, -34.62511], [-58.44949, -34.62502]]]",Polygon
30098,87155.81,12,12.0,1.0,72.9,5,91.1,8,21.5,2,,13.9,7,37.5,5,1850.869,68.4,8,2.0,7.0,30098.0,20120107.0,89.9,6,,1.1,1,"[[[-58.49252, -34.54595], [-58.49174, -34.5456], [-58.49155, -34.54586], [-58.49148, -34.54596], [-58.49147, -34.54598], [-58.49092, -34.54675], [-58.49091, -34.5469], [-58.49085, -34.54708], [-58.49075, -34.54724], [-58.4905, -34.54763], [-58.49005, -34.5474], [-58.48946, -34.54816], [-58.48887, -34.54893], [-58.48849, -34.54938], [-58.48825, -34.54967], [-58.48766, -34.55045], [-58.4874, -34.55031], [-58.48694, -34.55091], [-58.48683, -34.551050000000004], [-58.48766, -34.55147], [-58.48846, -34.55171], [-58.48856, -34.55159], [-58.48862, -34.55152], [-58.48891, -34.5511], [-58.48945, -34.55031], [-58.49, -34.54953], [-58.49056, -34.54874], [-58.4911, -34.54796], [-58.49167, -34.54716], [-58.49176, -34.5472], [-58.4918, -34.54714], [-58.49176, -34.54712], [-58.49231, -34.54634], [-58.4924, -34.54623], [-58.49258, -34.54597], [-58.49252, -34.54595]]]",Polygon
34197,33993.38,7,7.0,7.0,68.3,3,83.7,1,33.1,6,,14.2,7,30.8,3,789.146,48.5,2,2.0,6.0,34197.0,20070706.0,81.5,1,,3.1,4,"[[[-58.46707, -34.62615], [-58.46658, -34.627250000000004], [-58.46672, -34.62729], [-58.46794, -34.62764], [-58.46908, -34.62797], [-58.46933, -34.62804], [-58.46978, -34.62701], [-58.46858, -34.62663], [-58.46841, -34.62657], [-58.46726, -34.62621], [-58.46707, -34.62615]]]",Polygon
34200,19786.38,3,3.0,23.0,64.9,2,84.3,1,25.6,3,,21.9,9,26.3,2,567.106,57.4,4,2.0,6.0,34200.0,20032306.0,83.1,2,,2.7,3,"[[[-58.39677, -34.6218], [-58.39643, -34.62288], [-58.39636, -34.62306], [-58.39668, -34.62309], [-58.39757, -34.6232], [-58.39782, -34.62323], [-58.3982, -34.62189], [-58.39701, -34.62181], [-58.39677, -34.6218]]]",Polygon
34201,20048.63,3,3.0,23.0,56.0,1,74.2,0,27.5,4,,14.4,7,24.4,2,568.508,67.4,8,2.0,5.0,34201.0,20032305.0,94.8,9,,0.30000000000000004,0,"[[[-58.3982, -34.62189], [-58.39782, -34.62323], [-58.39803, -34.62326], [-58.39907, -34.62339], [-58.39927, -34.62342], [-58.39931, -34.62323], [-58.39957, -34.62208], [-58.3982, -34.62189]]]",Polygon
30104,29050.5,12,12.0,5.0,75.0,6,87.4,5,32.5,6,,5.5,0,43.7,6,689.896,60.9,5,2.0,5.0,30104.0,20120505.0,93.4,9,,3.7,5,"[[[-58.47154, -34.54457], [-58.47101, -34.54528], [-58.47043, -34.54607], [-58.47082, -34.5462], [-58.47105, -34.54628], [-58.4721, -34.54664], [-58.47249, -34.5458], [-58.47287, -34.54502], [-58.47272, -34.54497], [-58.47154, -34.54457]]]",Polygon
34203,20938.75,3,3.0,22.0,60.9,1,83.3,1,43.8,8,,16.6,8,29.8,3,580.955,44.1,1,2.0,6.0,34203.0,20032206.0,88.0,4,,9.4,9,"[[[-58.39446, -34.6217], [-58.39394, -34.62167], [-58.39376, -34.62288], [-58.39494, -34.62295], [-58.39537, -34.62297], [-58.39562, -34.62185], [-58.39564, -34.62175], [-58.39446, -34.6217]]]",Polygon
