,barrio_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,Computer Percent_mean,Cellular Percent_mean,Rent Percent_mean,Immigration Percent_mean,Education Percent_mean,Owner Percent_mean,created_on_count
0,AGRONOMIA,0.0,98175.0,12696.511157894742,17617.96126379402,0.0,5000.0,734.5910526315789,975.235273715466,74.04631578947361,86.65157894736839,22.051578947368416,7.01473684210526,33.86000000000003,67.07473684210528,95
1,ALMAGRO,0.0,878267.5,20709.41261343008,59404.83403966923,0.0,55000.0,1211.1843980641236,3495.641575904998,71.30994382022523,87.89949438202292,37.12241573033694,11.242808988764112,41.738595505618115,49.277921348314585,1780
2,BALVANERA,0.0,1408440.0,37086.928929088535,79472.7352889743,0.0,80000.0,2184.478299565844,4648.993970478027,66.26645658263249,85.8890406162464,43.74747899159668,17.533193277311025,36.41344537815133,41.776540616246706,2856
3,BARRACAS,3461.49,312417.98,37424.24922547335,52830.388820987515,216.77,15911.28,2202.6428399311526,3078.4644708206724,65.0469115191988,86.06193656093483,34.089816360600885,11.407178631051762,26.704674457429025,52.932888146911516,599
4,BELGRANO,0.0,705780.0,43239.352750336686,54878.05248333672,0.0,40000.0,2544.9706825325593,3222.410380512742,80.70745652173966,90.28445652173723,24.276391304347854,9.496434782608638,55.660826086956924,63.634130434784026,4600
5,BOCA,0.0,687225.0,38345.18711538462,72253.97504755988,0.0,35000.0,2258.057115384618,4063.4049403599392,59.47668488160257,85.2887067395269,38.03588342440797,15.765755919854339,18.083970856101967,43.649726775956324,549
6,BOEDO,0.0,240103.3,22616.517833935017,39186.104752739826,0.0,14361.53,1311.211877256316,2331.42074511462,66.18528428093659,85.50033444816042,33.42073578595314,13.365886287625418,26.557859531772515,54.26655518394664,299
7,CABALLITO,0.0,1623294.0,37913.15998775999,113111.14848611134,0.0,92000.0,2160.9442105263142,6407.131342615733,74.35747583854477,87.39232518476462,27.70517339397406,8.045309835133583,44.231210915292934,59.31341671404225,1759
8,CHACARITA,3719.54,346919.33,29593.93206798862,46818.86280763604,215.32,21725.23,1749.5340509915018,2801.2308359274243,69.69861111111085,87.86194444444453,33.46763888888872,13.07986111111111,35.64472222222202,51.04097222222237,720
9,COGHLAN,1000.21,193660.5,16449.59615789474,19996.605785735344,50.94,11000.0,952.5065263157893,1129.2303869040393,79.55210526315781,90.57105263157902,22.752631578947373,7.588421052631588,46.395789473684204,65.78526315789475,190
10,COLEGIALES,0.0,334764.0,28116.954430894297,36193.28565990024,0.0,18897.04,1663.824200542006,2175.40722385556,77.9099740932642,89.43316062176169,29.33108808290167,8.320207253886018,50.65738341968904,57.23238341968933,772
11,CONSTITUCION,0.0,633798.0,31835.46210869562,79385.33463697109,0.0,36000.0,1849.3853043478232,4542.988739674592,58.99979466119099,85.91950718685844,48.363244353182715,18.4488706365503,28.63264887063651,37.249897330595516,487
12,FLORES,0.0,1307820.15,22241.729444949986,72280.48200533302,0.0,81900.0,1300.5135941765243,4324.775220703883,66.50182133564634,86.10060711188191,29.213096270598538,14.156895056374733,32.247961838681626,58.00450997398077,1153
13,FLORESTA,0.0,289999.87,16567.579523809523,20222.5418374227,0.0,16690.64,971.0160591132998,1189.1944205353764,62.199373040752086,85.39200626959274,33.357053291536126,20.09811912225708,25.1329153605016,51.63510971786833,638
14,LINIERS,0.0,284155.68,18248.2754491018,29515.67127800259,0.0,16246.01,1068.923353293412,1699.875325535945,63.73673469387778,84.20667903525067,28.592022263450865,11.669944341372897,23.748608534322898,59.05621521335794,539
15,MATADEROS,0.0,215985.0,17252.331561461804,29411.641790955404,0.0,11000.0,1000.9961794019923,1647.3727146970944,60.58279220779232,83.92012987012993,24.527922077922163,13.010064935064936,16.51931818181822,65.02110389610412,616
16,MONSERRAT,0.0,1099560.0,33777.43041022182,56882.722216137154,0.0,56000.0,1991.2419502353696,3194.9449509274205,63.838994121489804,86.34069235793571,45.0789679947749,16.15160026126724,37.28798171130034,36.57112998040508,1531
17,MONTE CASTRO,2327.04,549780.0,21423.47591065293,40197.128871175904,134.71,28000.0,1256.7037800687278,2184.5016427371997,65.83959044368619,84.55017064846403,24.254607508532498,10.425938566552897,23.889419795221844,64.2204778156997,293
18,NUEVA POMPEYA,0.0,347500.0,50540.802987013005,91156.15213914154,0.0,20000.0,2886.596493506493,5178.635729963094,56.36399999999994,82.77200000000005,33.83885714285716,17.28857142857144,14.598285714285725,56.58228571428569,175
19,NUÑEZ,0.0,419657.92,34927.325491651136,44314.92981729247,0.0,26280.36,2059.6046258503393,2645.308048978411,80.39278287461742,91.24770642201956,27.720244648318072,7.863853211009168,51.549051987767974,58.755107033638815,1635
20,PALERMO,0.0,1658583.0,41879.42995655896,56497.535635073255,0.0,94000.0,2461.762107325422,3296.0916860346147,81.72555998008797,91.2280155964814,30.247560975609904,10.99148000663672,57.625551684088805,55.99844035175078,12054
21,PARQUE AVELLANEDA,0.0,249999.84,12679.973872832375,27641.053998342013,0.0,14388.48,737.6195375722543,1578.8109088038136,61.258100558659315,84.85139664804468,26.665363128491684,17.500558659217898,20.24581005586594,61.72513966480437,179
22,PARQUE CHACABUCO,0.0,139999.93,14556.231460176994,19559.2056565034,0.0,8057.55,828.5247787610617,1095.6929963027233,72.19090909090907,87.09740259740255,24.570995670995664,9.663203463203466,34.40692640692639,61.109523809523836,231
23,PARQUE CHAS,1297.88,83459.84,16670.65931506849,18342.6027382127,73.72,5226.53,974.2697260273977,1111.148040135281,72.50844155844155,85.99480519480511,23.609090909090888,9.272077922077917,32.312987012987,65.11818181818194,154
24,PARQUE PATRICIOS,0.0,371960.0,40794.888103448284,59157.53671079483,0.0,20000.0,2322.7511781609205,3317.1970921884745,63.71007194244571,85.13381294964036,32.43141486810538,14.705275779376503,22.26618705035967,56.18393285371711,417
25,PATERNAL,3903.49,157080.0,26373.06382716049,36589.49549664264,244.45,8703.22,1491.0884567901223,2022.925222279576,67.28816568047338,87.4857988165682,30.854437869822434,13.769822485207097,22.060355029585807,57.64674556213027,169
26,PUERTO MADERO,0.0,527570.55,57866.43445689147,39484.43872530715,0.0,29900.0,3457.0922704540844,2322.161443525945,84.16807159353208,96.96237490377162,30.742782909929808,26.93269822940721,58.0149730561965,59.909969207084465,5196
27,RECOLETA,0.0,777352.5,34585.43342040717,52418.29542932962,0.0,45000.0,2028.9742805599642,3096.5920947928385,79.49788477595645,89.17577233509904,30.250807124964936,9.734386306707602,60.8135123851947,55.583119955468284,7186
28,RETIRO,0.0,777352.5,48844.534381193705,72954.11642266223,0.0,45000.0,2870.810172850879,4288.632232734588,75.19638715432598,88.86991525423925,34.67736396074835,16.225847457627133,56.003256021408745,50.24386708296129,4484
29,SAAVEDRA,0.0,343612.5,15024.16742071883,18793.54671876633,0.0,17500.0,877.952452431289,998.865438317686,75.86350515463916,87.98041237113407,23.055257731958747,8.206391752577321,36.66268041237112,66.31711340206158,485
30,SAN CRISTOBAL,0.0,1036470.0,31909.27250000003,83506.65432490413,0.0,60000.0,1860.33396464646,4837.17886337268,62.65177777777803,85.98866666666649,35.96622222222228,15.639777777777736,26.96644444444442,50.506222222222206,450
31,SAN NICOLAS,0.0,1963500.0,62705.2239321742,161711.2958797237,0.0,100000.0,3675.444994634038,9388.556473699453,67.51972761866588,86.98555978369842,44.7168235529741,18.388964550369874,43.235950330462494,33.70688964550412,4993
32,SAN TELMO,0.0,546979.5,27233.985930122708,38531.23629112569,0.0,31000.0,1595.907167138807,2236.7883677295686,69.0207116788325,85.36861313868542,37.40529197080308,13.578467153284597,38.59552919708016,46.20027372262767,1096
33,VELEZ SARSFIELD,0.0,290073.75,20198.05701680672,42170.75593054699,0.0,16826.22,1172.6438655462184,2358.1833911308186,66.35839694656482,86.0347328244275,27.461068702290117,13.943129770992384,26.2935114503817,61.62595419847331,262
34,VERSALLES,1941.07,446352.0,40328.38851351352,94611.55634923495,101.98,24000.0,2307.569054054054,5336.414024393947,69.64324324324325,85.99324324324319,18.141891891891888,7.320270270270271,29.832432432432405,73.70810810810804,74
35,VILLA CRESPO,0.0,635202.0,36003.06955998362,50915.587891125644,0.0,36000.0,2109.8309090909047,2983.4396964866046,72.6721061093249,87.91153536977569,30.107435691318248,11.218127009646324,36.94039389067478,54.62841639871377,2488
36,VILLA DEL PARQUE,0.0,1588005.0,30977.38967948716,163683.18595968361,0.0,90000.0,1864.8796581196582,10069.350334823017,71.55211267605642,86.70342052313886,25.265794768611713,6.578672032193158,34.72374245472825,64.79295774647899,497
