,barrio_,month_,year_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
0,AGRONOMIA,1,2015,1347411.0,1347411.0,1347411.0,0.0,78000.0,78000.0,78000.0,0.0,6
1,AGRONOMIA,1,2016,1037952.5,1516410.0,1251206.5,214710.89964246756,65000.0,90000.0,77500.0,13176.156917368246,10
2,AGRONOMIA,1,2017,0.0,4774581.5,2259034.3970588236,922398.6908026957,0.0,299000.0,140794.11764705883,57680.29935815474,34
3,AGRONOMIA,1,2018,1366497.82,11388300.0,4791014.612799999,3174858.0533019677,69595.0,580000.0,244003.8,161693.81477347857,29
4,AGRONOMIA,2,2015,0.0,1209215.0,384750.2272727273,576470.6324273045,0.0,70000.0,22272.727272727272,33371.19062359573,22
5,AGRONOMIA,2,2016,0.0,7042882.0,2709385.293389831,2302045.03604311,0.0,418000.0,167995.08474576272,142745.87349096852,59
6,AGRONOMIA,2,2017,0.0,4710707.5,2295909.7077464787,963239.0134669329,0.0,295000.0,141704.22535211267,59364.64661400448,92
7,AGRONOMIA,3,2016,0.0,1449014.0,918786.8346153847,576288.3922939127,0.0,86000.0,56865.38461538462,35606.78522200725,26
8,AGRONOMIA,3,2017,914210.0,3976156.5,1818118.1785714286,786103.1931462708,55000.0,249000.0,112107.14285714286,48844.681491979354,28
9,AGRONOMIA,4,2015,1490527.5,6909800.0,3925444.7580645164,2020776.232237952,87000.0,400000.0,227709.67741935485,117193.6271158084,31
10,AGRONOMIA,4,2016,1293448.5,4231652.5,2371987.6041666665,941287.7241109994,81000.0,265000.0,148541.66666666666,58946.53374524842,24
11,AGRONOMIA,4,2017,1355725.65,6704910.0,2574316.215277778,1820967.932097342,84900.0,380000.0,156516.66666666666,106992.42029228051,36
12,AGRONOMIA,5,2015,1970237.5,5873330.0,3667940.398809524,1630337.40538405,115000.0,340000.0,213083.33333333334,94707.05260437645,42
13,AGRONOMIA,5,2016,1149732.0,2842393.0,2046785.9705882352,733576.9972534324,72000.0,178000.0,128176.4705882353,45939.004743929145,34
14,AGRONOMIA,5,2017,958110.0,2293836.0,1680215.3879310344,461865.711476129,60000.0,138000.0,103172.41379310345,28209.128418091448,33
15,AGRONOMIA,6,2015,1157391.5,7220741.0,2950167.888888889,2212377.5158416303,67000.0,418000.0,171333.33333333334,128265.64981738846,27
16,AGRONOMIA,6,2016,1756535.0,2682708.0,2034386.9,447384.0625049504,110000.0,168000.0,127400.0,28016.66170929958,10
