,b_id_,barrio_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
0,0,PALERMO,0.0,1501039.0,34566.88694296941,49085.36340189033,0.0,94000.0,2016.8660817363175,2889.677629824321,4433
1,1,BELGRANO,0.0,705780.0,35751.13024580337,50794.04468470981,0.0,40000.0,2077.634832134292,2947.7500690663096,1727
2,2,NUÑEZ,0.0,419657.92,26568.049533132533,37840.21910752051,0.0,26280.36,1555.4945180722905,2275.8544555185963,672
3,3,VILLA ORTUZAR,0.0,237583.5,23799.356015625013,35600.82839685165,0.0,12100.0,1371.1531249999991,2009.7574470742666,131
4,4,BALVANERA,0.0,1390000.0,30939.876621480726,73083.3853516073,0.0,80000.0,1807.461824817517,4266.068559315872,995
5,5,SAN CRISTOBAL,0.0,1036470.0,25626.44560000001,87622.00143644979,0.0,60000.0,1489.9452666666675,5072.500212001504,159
6,6,VILLA CRESPO,0.0,574866.0,30414.494764851526,44981.14735757982,0.0,36000.0,1775.677215346534,2647.6574163051746,830
7,7,VILLA GENERAL MITRE,4499.95,98956.7,14555.314705882342,14442.723442938035,258.99,5608.36,845.292705882353,834.1861745215089,88
8,8,FLORESTA,0.0,289999.87,16154.129999999986,25377.8223034996,0.0,16690.64,947.0486,1483.6714194908882,209
9,9,PARQUE CHACABUCO,0.0,138539.49,14293.704313725486,17574.4041437355,0.0,7851.71,814.2535294117647,990.8739216106226,106
10,10,PARQUE AVELLANEDA,0.0,247391.94,14488.248412698407,31465.815271432784,0.0,14020.91,835.4492063492063,1784.18026248733,66
11,11,CABALLITO,0.0,1623294.0,31993.21376486127,102952.78057436779,0.0,92000.0,1828.7979656538996,5887.885510426451,813
12,12,ALMAGRO,0.0,878267.5,17953.989677419355,50862.31941451641,0.0,55000.0,1048.3825645161292,3066.954208538513,652
13,14,VILLA URQUIZA,0.0,1209215.0,20783.386701030926,60656.917462318794,0.0,70000.0,1190.616020618557,3498.1862177940297,491
14,15,SAAVEDRA,0.0,343612.5,16124.176943005186,26832.35942028082,0.0,17500.0,923.7990155440408,1395.1887266881395,200
15,16,VILLA PUEYRREDON,0.0,123511.5,11446.000181818183,12741.689997215131,0.0,7000.0,646.108727272727,726.4573460282201,111
16,17,VILLA LURO,0.0,423468.0,23020.3910576923,69879.40700846723,0.0,24000.0,1345.2485576923073,4020.521366843301,108
17,18,MATADEROS,0.0,193660.5,13272.838019801979,22124.038177584203,0.0,11000.0,769.0016831683163,1262.9259264681402,205
