,id_left,lat,lon
1,9b254ef5797b842cf18729c4df9827332fdca285,-34.607902,-58.390337
59432,693f3f98f8b3c4c8e8774c6b02fce12f260f5bc5,-34.608204,-58.389802
63478,7d7bc7ff8756413088e8f672c82c579b48272821,-34.607908569,-58.3893042187
108455,799aca1e37fb3d2010fa1c54d5b851e311aa81a9,-34.6089971818,-58.389379759099995
109346,2377705bd05e4626070b206396b66e99f28be369,-34.6084511721,-58.3904457092
109616,c38b1e8d040d9581f70ada5a6a89b9b4e69d7aea,-34.6079018,-58.390337
114715,433c3064345fd374ed9c5163899e0ff7e5e8cf32,-34.608672,-58.390542
162925,e7a006e902312b1a5dbbac4a2c15b83f95e7197a,-34.608996000000005,-58.39011
167254,7e8c46f7d4658e236cce3ae94f957c75a37eb9a9,-34.608893,-58.39001700000001
168701,9a1af144af6455ba5150a05ba8e01bedaabb6a99,-34.607908569,-58.3893042187
232594,fc6999883006fe8f4af70677bbaab07369e02ad7,-34.6089356,-58.389651
2,6052eff893a6541b80eff7c92e2a84244a4a52f7,-34.581524200000004,-58.433260700000005
11,a07be7abc0c1e556eee42315752b6a852069a937,-34.581524200000004,-58.433260700000005
107,6d015398939d9d948177dfade519395b4af7db8f,-34.581417,-58.43186800000001
122,7da545e5e01009bdb3115a67cebb4cc9883f1909,-34.5795533687,-58.4308959756
140,c47e8203b07912bfe90b7fd4eb1bc777a59ca4c6,-34.5818663178,-58.4300283658
1333,261ba9b463e2b46ccf29edc59b55ab131f129525,-34.5818663178,-58.4300283658
4253,4937bb905a97586e84f59cf3fe69e9cb8d7298af,-34.5818663178,-58.4300283658
10587,fb4edc1f4a21d389469d1e0ed2748f775c3ca4e5,-34.581686499999996,-58.4308266
15389,d2993d3b7be369e11031e2ef78c0a045802e0de7,-34.5811206,-58.4310451
41492,3e73686a33d157f07fa5a33ecc5c923b62301c84,-34.5819804,-58.4304414
56893,748e29b4252c86c2897ccf905835eefff905c6ac,-34.5819804,-58.4304414
59193,074d3acd4c12a659dd228e6f4e88ab0dd75a4914,-34.5821062603,-58.4303262147
59279,87ac9a75bb9fb79ffed9aa36d6620b65863bc50c,-34.5819804,-58.4304414
61085,910393dc817119b5fa399497bac24875cb093ef5,-34.5819804,-58.4304414
67047,0ff1307ca6a877f1ed942cec8f5e45895118dc0c,-34.5820879,-58.4303461
69003,c7b056350a014f26e0254d2a3449b8aedbfee3ab,-34.581686499999996,-58.4308266
77400,2001830190339af23fc5fe4c80777d71d943eef7,-34.581686499999996,-58.4308266
86881,0b0e2f65796663d0dcce5f72d176f543ec5bf489,-34.581517,-58.433158999999996
89682,bd4073d08199786099353803c26cc0c4d2c19dff,-34.581517,-58.433158999999996
89741,170e1ffc7407eed0c1e137982a9bf627b5e14c54,-34.58110739999999,-58.4310478
92691,db963c18e3906da53deba392ab12ba4dfdc58aa4,-34.5799505,-58.43148789999999
92692,b0d5fdf4616539a2477e75fcb7cf21d8e5eedd49,-34.5818219,-58.43014010000001
92708,71cf1d58e0d94fc6039babafd8b5dbd6a2ead06c,-34.5800081,-58.4315583
96133,99dc3a874b237aed49c3ac67c94081dd7e0cdcfa,-34.5820879,-58.4303461
98798,91cfa067cdfc77c8fe6a2840555cf1d91624ed7a,-34.581686499999996,-58.4308266
102612,7fecddd3f89d9894175e3ab0a28084d0fc7d9f03,-34.5820638,-58.432182499999996
102631,afcee6b0c6182396db93a0df699300dfa1608da2,-34.581178,-58.4321911
102634,5c839a3fde25d1fa23a30b6c81a70ede9659d7fb,-34.581178,-58.4321911
102654,9574036a2d7b9a891dfef813b83f23e887c43782,-34.5809412069,-58.4310483588
115838,837dc1c69cf9d24bcff99ed730ee71fe49231bea,-34.581109600000005,-58.43103249999999
123362,68f4c7f3e10c44bcfa49c669c9b2eac568980313,-34.5819804,-58.4304414
136669,69261a973b1368aea27f050699eb18c51c1168c3,-34.581686499999996,-58.4308266
139408,fe00bf2cd513ee8de5ed6c66e0458c443e11314a,-34.581168299999995,-58.4321762
141976,bd792b8e6cf34943d094773efdffd3a98ead5e90,-34.581686499999996,-58.4308266
142729,7d649c071eb381373cc17988718d56ae4e805e36,-34.580425399999996,-58.4300654
144852,d0da6882962cd48f6e135ed8c6c22e9bc14dc15e,-34.5794748,-58.4309342
150728,3296d340839aada3bd4bd67e9869cfc5921923c0,-34.5802112239,-58.4301267798
150752,b728e9f8da72d40648890a5a4b9dc33e593549f6,-34.5809728298,-58.4324804837
150832,8d46c3a9b003f037505ff80c8f5a7d6973f74df1,-34.5821062603,-58.4303262147
151634,34ab31eb5b891bf5041b847103ab7b69f2de62f5,-34.581686499999996,-58.4308266
152024,584bd66e34047cac9da42ae46c61941b6243a9cc,-34.5819553818,-58.4301300471
152957,1d6d179da3b89eff44390e55c528692e1039989d,-34.581746,-58.430015000000004
