,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
15208,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,573.16,33.18,1,13
15586,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,573.16,33.18,1,13
19202,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,568.45,33.18,1,13
23736,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,568.45,33.18,1,13
28148,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,568.45,33.18,1,13
32813,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,529.83,33.18,1,13
47161,9bedbe2110511429357e1bc231326996256a6674,7/27/2015,apartment,-34.560391,-58.4538651,568.45,33.18,1,13
8766,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,687.69,39.81,5,3
9167,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,687.69,39.81,5,3
11756,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,687.69,39.81,5,3
12220,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,687.69,39.81,5,3
15253,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,687.69,39.81,5,3
15719,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,687.69,39.81,5,3
18952,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
19345,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
23498,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
23873,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
27910,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
28246,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
46972,8c9897459590d09b2253812c80f955a24d5f868f,6/27/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
47311,1af2f1ad6127762d23215266cb24b024b03a7bdb,6/26/2015,apartment,-34.6216163,-58.3931505,682.04,39.81,5,3
27985,5e044076045fb2d7e068bcfecc7b08cdf2850e3b,12/4/2015,apartment,-34.605976,-58.424532,861.25,50.27,12,5
32690,5e044076045fb2d7e068bcfecc7b08cdf2850e3b,12/4/2015,apartment,-34.605976,-58.424532,802.73,50.27,12,5
36918,5e044076045fb2d7e068bcfecc7b08cdf2850e3b,12/4/2015,apartment,-34.605976,-58.424532,802.73,50.27,12,5
40687,5e044076045fb2d7e068bcfecc7b08cdf2850e3b,12/4/2015,apartment,-34.605976,-58.424532,846.99,50.27,12,5
44048,5e044076045fb2d7e068bcfecc7b08cdf2850e3b,12/4/2015,apartment,-34.605976,-58.424532,802.73,50.27,12,5
1620,4b0c5db03185991c249446ecf61b83e23e75c5cd,3/15/2015,store,-34.6285629,-58.4293747,1146.33,66.36,9,7
