field_1,id_left,lat,lon,join_long,join_lat,join_object,join_id,join_name,join_comune,distance
"1",9b254ef5797b842cf18729c4df9827332fdca285,-34.607902,-58.390337,-58.3893968489903,-34.6077192783777,pharmacy,,,"1",0.000957742717172992
"59432",693f3f98f8b3c4c8e8774c6b02fce12f260f5bc5,-34.608204,-58.389802,-58.3893968489903,-34.6077192783777,pharmacy,,,"1",0.00063174551188517
"63478",7d7bc7ff8756413088e8f672c82c579b48272821,-34.607908569,-58.3893042187,-58.3893968489903,-34.6077192783777,pharmacy,,,"1",0.00021073991167614
"108455",799aca1e37fb3d2010fa1c54d5b851e311aa81a9,-34.6089971818,-58.3893797591,-58.3888827280335,-34.6088679908503,pharmacy,,,"1",0.000513546670269581
"109346",2377705bd05e4626070b206396b66e99f28be369,-34.6084511721,-58.3904457092,-58.3893968489903,-34.6077192783777,pharmacy,,,"1",0.00127897465190997
"109616",c38b1e8d040d9581f70ada5a6a89b9b4e69d7aea,-34.6079018,-58.390337,-58.3893968489903,-34.6077192783777,pharmacy,,,"1",0.000957704580571761
"114715",433c3064345fd374ed9c5163899e0ff7e5e8cf32,-34.608672,-58.390542,-58.3917794746405,-34.6086723997424,pharmacy,,,"1",0.00123747470506183
"162925",e7a006e902312b1a5dbbac4a2c15b83f95e7197a,-34.608996,-58.39011,-58.3888827280335,-34.6088679908503,pharmacy,,,"1",0.001233929828703
"167254",7e8c46f7d4658e236cce3ae94f957c75a37eb9a9,-34.608893,-58.390017,-58.3888827280335,-34.6088679908503,pharmacy,,,"1",0.00113454764182542
"168701",9a1af144af6455ba5150a05ba8e01bedaabb6a99,-34.607908569,-58.3893042187,-58.3893968489903,-34.6077192783777,pharmacy,,,"1",0.00021073991167614
"232594",fc6999883006fe8f4af70677bbaab07369e02ad7,-34.6089356,-58.389651,-58.3888827280335,-34.6088679908503,pharmacy,,,"1",0.000771241085285981
