,barrio_,b_id_,month_,year_,price_aprox_local_currency_min,price_aprox_local_currency_max,price_aprox_local_currency_mean,price_aprox_local_currency_std,price_aprox_usd_min,price_aprox_usd_max,price_aprox_usd_mean,price_aprox_usd_std,created_on_count
0,AGRONOMIA,25.0,1,2015,1347411.0,1347411.0,1347411.0,0.0,78000.0,78000.0,78000.0,0.0,1
1,AGRONOMIA,25.0,1,2016,1037952.5,1437165.0,1237558.75,282285.8658844346,65000.0,90000.0,77500.0,17677.66952966369,2
2,AGRONOMIA,25.0,1,2017,1916220.0,4774581.5,2573209.714285714,1032880.491383315,120000.0,299000.0,161142.85714285713,64682.37413553652,7
3,AGRONOMIA,25.0,1,2018,1366497.82,11388300.0,4839287.096666667,3233756.9225659794,69595.0,580000.0,246462.29166666666,164693.50253794342,24
4,AGRONOMIA,25.0,2,2015,1209215.0,1209215.0,1209215.0,0.0,70000.0,70000.0,70000.0,0.0,1
5,AGRONOMIA,25.0,2,2016,1149732.0,6674833.0,3087523.6640000003,2048057.375891267,72000.0,418000.0,192783.5,128684.63851278702,10
6,AGRONOMIA,25.0,2,2017,950125.75,4710707.5,2606857.625,1190222.9755112017,59500.0,295000.0,163250.0,74535.67808568127,14
7,AGRONOMIA,25.0,3,2016,1203018.6,1373291.0,1297220.65,81719.94908990497,71400.0,86000.0,79225.0,7366.760934540136,4
8,AGRONOMIA,25.0,3,2017,942141.5,3976156.5,2066323.9,1266987.5232658866,59000.0,249000.0,129400.0,79342.92659084364,5
9,AGRONOMIA,25.0,4,2015,1490527.5,6853000.0,3929110.0,2205765.3604276455,87000.0,400000.0,228666.66666666666,128267.94871154161,6
10,AGRONOMIA,25.0,4,2016,1293448.5,4231652.5,2376645.0833333335,1099320.3753698198,81000.0,265000.0,148833.33333333334,68843.05823150702,6
11,AGRONOMIA,25.0,4,2017,1355725.65,5748660.0,2189480.95625,1498261.4634734918,84900.0,360000.0,137112.5,93826.061525722,8
12,AGRONOMIA,25.0,5,2015,1970237.5,5825050.0,3650650.2083333335,1756147.410847182,115000.0,340000.0,213083.33333333334,102503.86171587229,6
13,AGRONOMIA,25.0,5,2016,1149732.0,2842393.0,2004046.75,741657.8131817741,72000.0,178000.0,125500.0,46445.05202002531,8
14,AGRONOMIA,25.0,5,2017,958110.0,2203653.0,1649191.1944444445,468749.4477800377,60000.0,138000.0,103277.77777777778,29354.63241882692,9
15,AGRONOMIA,25.0,6,2015,1157391.5,7220741.0,3227831.0,2739121.767969366,67000.0,418000.0,187600.0,158723.9742445986,5
16,AGRONOMIA,25.0,6,2016,1756535.0,2682708.0,2219621.5,654903.2088518883,110000.0,168000.0,139000.0,41012.193308819755,2
17,AGRONOMIA,25.0,6,2017,1702750.0,6547085.0,3092079.6791666667,1433043.1548495726,98000.0,410000.0,185550.0,90042.89381885016,12
18,AGRONOMIA,25.0,7,2015,9251550.0,9251550.0,9251550.0,0.0,540000.0,540000.0,540000.0,0.0,1
19,AGRONOMIA,25.0,7,2016,1197637.5,6706770.0,2894290.625,2599789.991677513,75000.0,420000.0,181250.0,162807.40155164935,4
20,AGRONOMIA,25.0,7,2017,1049847.75,10042920.0,3856481.982903226,2677734.0500227096,59500.0,540000.0,217890.16129032258,149555.7476911975,31
21,AGRONOMIA,25.0,8,2015,1935972.5,4283125.0,2843995.0,1260491.0142405815,113000.0,250000.0,166000.0,73573.09290766563,3
22,AGRONOMIA,25.0,8,2016,1101826.5,6706770.0,2185688.4375,1864311.994713378,69000.0,420000.0,136875.0,116749.34995230472,8
23,AGRONOMIA,25.0,8,2017,3468283.5,4308750.0,3888516.75,594299.5615101234,197000.0,250000.0,223500.0,37476.65940288702,2
24,AGRONOMIA,25.0,9,2014,1986567.5,1986567.5,1986567.5,0.0,115000.0,115000.0,115000.0,0.0,1
25,AGRONOMIA,25.0,9,2015,1284937.5,3854812.5,2371110.0,1232327.3000725769,75000.0,225000.0,138750.0,71574.5532061966,4
26,AGRONOMIA,25.0,9,2016,1037952.5,6547085.0,2874130.39375,1924679.9214071815,65000.0,410000.0,179987.5,120529.78810828704,8
27,AGRONOMIA,25.0,9,2017,862669.5,8600625.0,3261975.25,2373657.1488310024,49000.0,495000.0,187108.33333333334,136029.05744618305,12
28,AGRONOMIA,25.0,10,2015,4437317.5,4608642.5,4522980.0,121145.06928678525,259000.0,269000.0,264000.0,7071.067811865475,2
29,AGRONOMIA,25.0,10,2016,1517007.5,7904407.5,4052006.875,2716503.4416755107,95000.0,495000.0,253750.0,170116.38173125283,4
30,AGRONOMIA,25.0,10,2017,1225254.77,6866145.0,3463122.354375,2020663.683251345,69595.0,390000.0,196087.1875,113598.86220041628,16
31,AGRONOMIA,25.0,11,2014,1718812.75,7220741.0,3552788.8333333335,3176539.7561995066,99500.0,418000.0,205666.66666666666,183886.0607368958,3
32,AGRONOMIA,25.0,11,2015,2261490.0,4283125.0,3272307.5,1429511.817584066,132000.0,250000.0,191000.0,83438.60018001261,2
33,AGRONOMIA,25.0,11,2016,878267.5,5828502.5,2408436.1480555558,1273235.509676134,55000.0,365000.0,150824.19444444444,79734.1960361584,36
34,AGRONOMIA,25.0,11,2017,1059952.5,10042920.0,2372697.0060606063,1775680.7992063193,59000.0,540000.0,133906.0606060606,96333.97615650052,33
35,AGRONOMIA,25.0,12,2015,1117795.0,1884575.0,1501185.0,542195.3376782209,70000.0,110000.0,90000.0,28284.2712474619,2
36,AGRONOMIA,25.0,12,2016,176453.2,1277480.0,966294.175,529618.758508032,11050.08,80000.0,60512.520000000004,33166.46881517939,4
37,AGRONOMIA,25.0,12,2017,1943865.0,7755825.0,3881908.4444444445,2109435.110324451,99000.0,395000.0,205666.66666666666,109158.14216081181,9
38,ALMAGRO,12.0,1,2015,690980.0,3454900.0,2120251.8307499997,680678.904563495,40000.0,200000.0,122738.825,39403.68208870939,40
39,ALMAGRO,12.0,1,2016,426342.34,8782675.0,1858213.1143939395,1372044.050957833,26698.96,550000.0,115618.87015151515,84989.6669433411,66
40,ALMAGRO,12.0,1,2017,212484.84,10858580.0,2616364.3689705883,1757953.5949934218,13306.5,680000.0,163770.7169117647,110027.86018228062,136
41,ALMAGRO,12.0,1,2018,223839.0,21598500.0,3818084.036737288,2811000.7395504094,11400.0,1100000.0,194452.96851694916,143162.75729548017,236
42,ALMAGRO,12.0,2,2015,950097.5,7773525.0,2609334.9303448275,1229227.693677069,55000.0,450000.0,151051.25655172413,71158.51070221467,87
43,ALMAGRO,12.0,2,2016,119223.21,4212250.0,1265473.0122368422,1097361.24453208,7466.15,250000.0,77953.82118421052,67034.68381996224,76
44,ALMAGRO,12.0,2,2017,782456.5,8782675.0,2665390.221134752,1555446.493041994,49000.0,550000.0,166643.8574468085,97152.71791698223,141
45,ALMAGRO,12.0,2,2018,1413720.0,5694150.0,2706825.0,1711943.3815258027,72000.0,290000.0,137857.14285714287,87188.35658394717,7
46,ALMAGRO,12.0,3,2015,1174666.0,4318625.0,2489917.8564,786419.0469347548,68000.0,250000.0,144454.7844,45554.30065797392,25
47,ALMAGRO,12.0,3,2016,118905.28,14321650.0,1574090.7585815606,1818237.1361470895,7446.24,850000.0,96073.62418439715,110163.26338296778,141
48,ALMAGRO,12.0,3,2017,87911.86,8463305.0,2588326.0634054034,1671375.997821424,5505.33,530000.0,161960.50210810808,104634.77837498114,185
49,ALMAGRO,12.0,4,2015,1045082.5,7161385.0,2003481.4518666666,1140036.5280139213,61000.0,418000.0,116527.12066666667,66429.115985974,75
50,ALMAGRO,12.0,4,2016,272146.83,10379525.0,1563557.8317647062,1388680.8136524775,17042.73,650000.0,97915.1349579832,86963.76072056308,119
51,ALMAGRO,12.0,4,2017,670677.0,15289519.38,3745591.31292683,3179668.3355049933,42000.0,957480.0,233845.34146341463,198776.0552659664,205
52,ALMAGRO,12.0,5,2015,94672.03,11136125.0,2170618.4887356325,2008866.1460835543,5480.45,650000.0,126304.76850574712,117273.10733910959,87
53,ALMAGRO,12.0,5,2016,926173.0,13573225.0,2350438.44609375,1848141.2873191594,58000.0,850000.0,147192.1875,115736.68706009701,64
54,ALMAGRO,12.0,5,2017,605206.15,31937000.0,2685721.2237444925,2817636.303656601,37900.0,2000000.0,167228.81938325992,176090.4149718376,227
55,ALMAGRO,12.0,6,2015,522911.82,11136125.0,1796451.173235294,1156829.8771154087,30521.63,650000.0,104389.73009803922,67574.70457181724,102
56,ALMAGRO,12.0,6,2016,798425.0,6706770.0,2224023.9545569625,941911.4424716112,50000.0,420000.0,139275.69620253163,58985.59305095771,79
57,ALMAGRO,12.0,6,2017,686645.5,8942360.0,2326853.764302325,1251606.7641947728,43000.0,560000.0,139949.84484496125,74902.9236815485,258
58,ALMAGRO,12.0,7,2014,950097.5,13819600.0,2575323.1058823527,2988847.4632268725,55000.0,800000.0,149082.35294117648,173020.7799488768,17
59,ALMAGRO,12.0,7,2015,673453.39,11228425.0,2025347.2202985077,1485613.8012658875,39308.53,650000.0,118062.44850746269,86128.82814884736,67
60,ALMAGRO,12.0,7,2016,902220.25,10379525.0,2350239.530538922,1516903.292906987,56500.0,650000.0,147179.73077844307,94993.4742001526,167
61,ALMAGRO,12.0,7,2017,705780.0,183121875.0,3435178.1590243937,9295777.35912166,40000.0,10625000.0,194738.6061178862,531441.5007997026,492
62,ALMAGRO,12.0,8,2014,1036470.0,4059507.5,2278990.2359999996,1086492.299022238,60000.0,235000.0,131928.0,62895.7306447213,25
63,ALMAGRO,12.0,8,2015,540080.64,11136125.0,2410489.2675,1851251.5745075194,31523.75,650000.0,140390.46875,107929.54218276498,32
64,ALMAGRO,12.0,8,2016,638740.0,7808596.5,2411032.990322581,1412838.7217078137,40000.0,489000.0,150986.81720430107,88476.60842487351,93
65,ALMAGRO,12.0,8,2017,1077250.0,7558125.0,3313069.8266666667,1890712.28515324,62000.0,435000.0,189980.0,108885.92457902248,15
66,ALMAGRO,12.0,9,2014,1140117.0,6823427.5,2328218.722222222,1800437.3579778273,66000.0,395000.0,134777.77777777778,104225.15024908549,9
67,ALMAGRO,12.0,9,2015,1079347.5,4762835.0,2233287.269230769,862236.1678132358,63000.0,278000.0,130353.84615384616,50327.51599668676,39
68,ALMAGRO,12.0,9,2016,93104.97,22355900.0,2602622.1364485985,2926558.5690996298,5830.54,1400000.0,162984.75981308412,183270.72479952537,107
69,ALMAGRO,12.0,9,2017,418810.5,22587500.0,2831023.8224369767,1940582.3371632935,24300.0,1300000.0,162345.7952380953,110847.46876965783,357
70,ALMAGRO,12.0,10,2014,126107.82,3023037.5,2043445.8094736843,838027.631130307,7300.23,175000.0,118292.61684210524,48512.41024235368,19
71,ALMAGRO,12.0,10,2015,1027950.0,8480587.5,2878097.7013559323,1787395.1535958168,60000.0,495000.0,167990.52694915255,104327.74868593331,59
72,ALMAGRO,12.0,10,2016,103795.88,8143935.0,2471045.5951456316,1744795.4649427112,6500.04,510000.0,154745.00398058252,109264.83165803319,103
73,ALMAGRO,12.0,10,2017,105999.9,8271076.5,2920473.481076923,1561593.000343122,6150.27,479900.0,165283.5136923077,88989.34144532333,260
74,ALMAGRO,12.0,11,2014,135469.56,7687152.5,2043717.6037931037,1370260.6020821726,7842.17,445000.0,118308.35068965517,79322.73592870511,29
75,ALMAGRO,12.0,11,2015,460717.25,5225412.5,1964760.8747826084,1196476.9861716866,26891.42,305000.0,114752.28275362318,70027.51440104767,69
76,ALMAGRO,12.0,11,2016,605206.15,28267342.88,2466743.9956172826,3069992.448490113,37900.0,1770194.0,154475.62364197528,192253.0262129149,162
77,ALMAGRO,12.0,11,2017,109971.26,125899223.0,3506882.9147906993,8568912.423721729,6354.7,7304857.73,198158.55316279072,496172.7213961162,215
78,ALMAGRO,12.0,12,2014,1036470.0,17274500.0,2878219.746,4048105.1529530874,60000.0,1000000.0,166616.6746666667,234339.93185805753,15
79,ALMAGRO,12.0,12,2015,109367.45,4710707.5,1083265.2935714286,994598.4266672503,6848.95,295000.0,64927.02285714288,60118.377294970356,84
80,ALMAGRO,12.0,12,2016,175653.5,5828502.5,2307096.779591837,1227304.7638576797,11000.0,365000.0,144477.98979591837,76857.8616510843,98
81,ALMAGRO,12.0,12,2017,1022890.0,36266100.0,3165450.5193121685,3028066.2455293545,55000.0,1950000.0,168041.31746031746,162680.66757917206,189
82,BALVANERA,4.0,1,2015,1122842.5,2919390.5,1780058.7045454546,660830.9630789179,65000.0,169000.0,103045.45454545454,38254.708563426895,11
83,BALVANERA,4.0,1,2016,790440.75,16849000.0,1954512.3671186443,2344103.2880195496,49500.0,1000000.0,120740.06152542372,140732.54322680403,59
84,BALVANERA,4.0,1,2017,830362.0,7185825.0,2368650.3037313432,1198226.2031337009,52000.0,450000.0,148332.6739552239,75036.86652206261,134
85,BALVANERA,4.0,1,2018,101373.93,58905000.0,3142756.3242121213,3605679.362013386,5162.92,3000000.0,160058.89096969698,183635.31255534713,330
86,BALVANERA,4.0,2,2015,984646.5,10364700.0,2241199.072117647,1429194.1678958177,57000.0,600000.0,129740.31505882351,82734.32907944238,85
87,BALVANERA,4.0,2,2016,597501.5,16006550.0,2188467.4637254905,2180138.8876586496,37417.51,950000.0,134202.30411764706,129823.5818408846,51
88,BALVANERA,4.0,2,2017,875073.8,23952750.0,2394742.716666666,2315833.5538590075,54800.0,1500000.0,149966.66666666666,145025.11531195836,132
89,BALVANERA,4.0,2,2018,1747515.0,3514665.0,2618000.0,883865.8410217017,89000.0,179000.0,133333.33333333334,45014.812376964685,3
90,BALVANERA,4.0,3,2015,343762.55,6737055.0,2435243.1129787234,1209607.1269433086,19900.0,390000.0,141314.86127659577,70038.64189704665,47
91,BALVANERA,4.0,3,2016,614787.25,15649130.0,2299920.4262376237,1940249.9619303036,38500.0,980000.0,140079.20792079208,119242.61345411015,101
92,BALVANERA,4.0,3,2017,335338.5,10379525.0,2336173.648641304,1560608.547734367,21000.0,650000.0,145882.47494565218,97521.62930619872,184
93,BALVANERA,4.0,4,2015,762396.25,27412000.0,2761482.3233027523,3338465.678661146,44500.0,1600000.0,160550.08165137612,194821.14078490174,109
94,BALVANERA,4.0,4,2016,163540.27,12774800.0,2271529.955221239,1491571.3727236849,10241.43,800000.0,142250.6782300885,93407.10602963904,113
